     Index       y_measurement           y_fitting        descriptor_1
         1    0.1436000000E+01    0.1270358995E+01    0.3184806242E+01
         2    0.1038000000E+01    0.1343058595E+01    0.3028115062E+01
         3    0.1419000000E+01    0.1364435709E+01    0.2982040459E+01
         4    0.9540000000E+00    0.1183571450E+01    0.3371861507E+01
         5    0.1306000000E+01    0.1600725493E+01    0.2472759456E+01
         6    0.4719000000E+01    0.3952974976E+01   -0.2597099915E+01
         7    0.1402000000E+01    0.1318237493E+01    0.3081612575E+01
         8    0.2789000000E+01    0.3335649448E+01   -0.1266563494E+01
         9    0.1066000000E+01    0.1005729969E+01    0.3755167488E+01
        10    0.2933000000E+01    0.3349360348E+01   -0.1296114922E+01
        11    0.1418000000E+01    0.1297756103E+01    0.3125756602E+01
        12    0.4341000000E+01    0.3642123465E+01   -0.1927114245E+01
        13    0.3568000000E+01    0.3423798444E+01   -0.1456553124E+01
        14    0.9660000000E+00    0.1097334712E+01    0.3557729603E+01
        15    0.2519000000E+01    0.2639738925E+01    0.2333490426E+00
        16    0.9280000000E+00    0.9703529504E+00    0.3831416420E+01
        17    0.4118000000E+01    0.3748087764E+01   -0.2155501624E+01
        18    0.8180000000E+00    0.1217300733E+01    0.3299163978E+01
        19    0.7600000000E+00    0.9798866895E+00    0.3810868125E+01
        20    0.1375000000E+01    0.1149887104E+01    0.3444462180E+01
        21    0.3809000000E+01    0.3547108762E+01   -0.1722326793E+01
        22    0.1464000000E+01    0.1565372067E+01    0.2548957536E+01
        23    0.4256000000E+01    0.3925703756E+01   -0.2538321605E+01
        24    0.1051000000E+01    0.1157366351E+01    0.3428341981E+01
        25    0.6890000000E+00    0.1025813132E+01    0.3711881769E+01
        26    0.7210000000E+00    0.7627839651E+00    0.4278794801E+01
        27    0.8590000000E+00    0.6521556389E+00    0.4517234669E+01
        28    0.1338000000E+01    0.1288704631E+01    0.3145265456E+01
        29    0.1202000000E+01    0.1381507605E+01    0.2945244994E+01
        30    0.2290000000E+01    0.1906128494E+01    0.1814517088E+01
        31    0.1284000000E+01    0.1287314294E+01    0.3148262083E+01
        32    0.6600000000E+00    0.1109218049E+01    0.3532117163E+01
        33    0.3319000000E+01    0.3588901531E+01   -0.1812403743E+01
        34    0.1313000000E+01    0.1331404663E+01    0.3053233059E+01
        35    0.1015000000E+01    0.8412442723E+00    0.4109687431E+01
        36    0.9730000000E+00    0.1010599006E+01    0.3744673137E+01
        37    0.3798000000E+01    0.3664573558E+01   -0.1975501467E+01
        38    0.2641000000E+01    0.2694498086E+01    0.1153253176E+00
        39    0.4820000000E+00    0.9324114955E+00    0.3913192542E+01
        40    0.3508000000E+01    0.3568164831E+01   -0.1767709439E+01
        41    0.1132000000E+01    0.8577939431E+00    0.4074017531E+01
        42    0.1223000000E+01    0.1029508694E+01    0.3703916637E+01
        43    0.1145000000E+01    0.1174020794E+01    0.3392446263E+01
        44    0.4133000000E+01    0.3828084435E+01   -0.2327920357E+01
        45    0.1290000000E+01    0.4692129391E+00    0.4911535430E+01
        46    0.2827000000E+01    0.3347651137E+01   -0.1292431020E+01
        47    0.1174000000E+01    0.7896694438E+00    0.4220847888E+01
        48    0.4073000000E+01    0.3738251290E+01   -0.2134300838E+01
        49    0.3543000000E+01    0.3696259146E+01   -0.2043794169E+01
        50    0.3456000000E+01    0.3507813371E+01   -0.1637632499E+01
        51    0.1121000000E+01    0.7630887782E+00    0.4278137830E+01
        52    0.8180000000E+00    0.7627839651E+00    0.4278794801E+01
        53    0.6060000000E+00    0.9637695908E+00    0.3845605692E+01
        54    0.2215000000E+01    0.3260100873E+01   -0.1103731848E+01
        55    0.3506000000E+01    0.3530381618E+01   -0.1686274379E+01
        56    0.3028000000E+01    0.3252996072E+01   -0.1088418701E+01
        57    0.7030000000E+00    0.9986824905E+00    0.3770357087E+01
        58    0.8110000000E+00    0.1009701732E+01    0.3746607054E+01
        59    0.2522000000E+01    0.2675686971E+01    0.1558693627E+00
        60    0.2441000000E+01    0.2645756121E+01    0.2203800372E+00
        61    0.9530000000E+00    0.1397256092E+01    0.2911301904E+01
        62    0.1482000000E+01    0.1542344290E+01    0.2598589853E+01
        63    0.2635000000E+01    0.2694498086E+01    0.1153253176E+00
        64    0.3659000000E+01    0.3654105200E+01   -0.1952938764E+01
        65    0.1198000000E+01    0.9540334571E+00    0.3866590213E+01
        66    0.1313000000E+01    0.7896694438E+00    0.4220847888E+01
        67    0.8460000000E+00    0.1474922991E+01    0.2743904586E+01
        68    0.1537000000E+01    0.1671698636E+01    0.2319789349E+01
        69    0.9030000000E+00    0.1042682930E+01    0.3675521891E+01
        70    0.1063000000E+01    0.1254193051E+01    0.3219649087E+01
        71    0.1063000000E+01    0.7971799894E+00    0.4204660230E+01
        72    0.8120000000E+00    0.1366567956E+01    0.2977444776E+01
        73    0.3733000000E+01    0.3683706691E+01   -0.2016739563E+01
        74    0.1471000000E+01    0.1263052103E+01    0.3200554961E+01
        75    0.1082000000E+01    0.1233632713E+01    0.3263963273E+01
        76    0.3972000000E+01    0.3724598073E+01   -0.2104873734E+01
        77    0.1418000000E+01    0.1519485771E+01    0.2647857365E+01
        78    0.1318000000E+01    0.1329523765E+01    0.3057287004E+01
        79    0.3793000000E+01    0.3880617909E+01   -0.2441147005E+01
        80    0.6770000000E+00    0.1030946998E+01    0.3700816626E+01
        81    0.9610000000E+00    0.1026712259E+01    0.3709943858E+01
        82    0.3442000000E+01    0.3678290439E+01   -0.2005065787E+01
        83    0.9490000000E+00    0.1057564166E+01    0.3643448008E+01
        84    0.1061000000E+01    0.9713730148E+00    0.3829217851E+01
        85    0.9630000000E+00    0.5414453422E+00    0.4755851210E+01
        86    0.4052000000E+01    0.3639318133E+01   -0.1921067847E+01
        87    0.2584000000E+01    0.2667195809E+01    0.1741705666E+00
        88    0.2421000000E+01    0.3211865006E+01   -0.9997679360E+00
        89    0.3658000000E+01    0.3083232254E+01   -0.7225226988E+00
        90    0.7510000000E+00    0.1288939885E+01    0.3144758408E+01
        91    0.3594000000E+01    0.3574412583E+01   -0.1781175369E+01
        92    0.1423000000E+01    0.1063487176E+01    0.3630682003E+01
        93    0.1443000000E+01    0.1424441663E+01    0.2852708196E+01
        94    0.1305000000E+01    0.1256267161E+01    0.3215178707E+01
        95    0.1031000000E+01    0.1254175771E+01    0.3219686330E+01
        96    0.1288000000E+01    0.1018762746E+01    0.3727077634E+01
        97    0.9820000000E+00    0.9817862597E+00    0.3806773936E+01
        98    0.1070000000E+01    0.8826693457E+00    0.4020402983E+01
        99    0.6880000000E+00    0.8736609096E+00    0.4039819080E+01
       100    0.1169000000E+01    0.8228790882E+00    0.4149270350E+01
       101    0.8290000000E+00    0.9358339529E+00    0.3905816038E+01
       102    0.9670000000E+00    0.5946939591E+00    0.4641083197E+01
       103    0.1447000000E+01    0.1094896157E+01    0.3562985479E+01
       104    0.1183000000E+01    0.8716850478E+00    0.4044077702E+01
       105    0.1260000000E+01    0.1003341265E+01    0.3760315920E+01
       106    0.9210000000E+00    0.1101980098E+01    0.3547717291E+01
       107    0.2953000000E+01    0.3331137467E+01   -0.1256838712E+01
       108    0.3511000000E+01    0.3418542521E+01   -0.1445224909E+01
       109    0.1529000000E+01    0.1524424810E+01    0.2637212135E+01
       110    0.1439000000E+01    0.1618208644E+01    0.2435077604E+01
       111    0.1229000000E+01    0.1521994327E+01    0.2642450614E+01
       112    0.3664000000E+01    0.3083232254E+01   -0.7225226988E+00
       113    0.3624000000E+01    0.3547108762E+01   -0.1722326793E+01
       114    0.3368000000E+01    0.3428391163E+01   -0.1466451922E+01
       115    0.1228000000E+01    0.1443854084E+01    0.2810868142E+01
       116    0.1025000000E+01    0.1024914059E+01    0.3713819562E+01
       117    0.1472000000E+01    0.1664049111E+01    0.2336276552E+01
       118    0.1198000000E+01    0.9050050756E+00    0.3972262252E+01
       119    0.1067000000E+01    0.1053891134E+01    0.3651364582E+01
       120    0.1081000000E+01    0.1087644524E+01    0.3578615097E+01
       121    0.1198000000E+01    0.1195350348E+01    0.3346474166E+01
       122    0.1029000000E+01    0.8233305442E+00    0.4148297316E+01
       123    0.3474000000E+01    0.3035053594E+01   -0.6186820837E+00
       124    0.4052000000E+01    0.3739219272E+01   -0.2136387153E+01
       125    0.1010000000E+01    0.8687060709E+00    0.4050498362E+01
       126    0.9360000000E+00    0.6192570109E+00    0.4588141866E+01
       127    0.9530000000E+00    0.1130502633E+01    0.3486241993E+01
