     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.1436000000E+01    0.1324245780E+01    0.8722004983E+00    0.6054138384E+00
         2    0.1038000000E+01    0.8464041436E+00    0.8814460600E+00    0.8298943870E+00
         3    0.1419000000E+01    0.1554621460E+01    0.9322122369E+00    0.3933916242E+00
         4    0.9540000000E+00    0.9329024536E+00    0.9318406594E+00    0.7054286377E+00
         5    0.1306000000E+01    0.1585023893E+01    0.6217652475E+00    0.8779860303E+00
         6    0.4719000000E+01    0.4622565206E+01    0.5188078016E-01    0.2739071267E+00
         7    0.1402000000E+01    0.1523062149E+01    0.9324409008E+00    0.4088325319E+00
         8    0.2789000000E+01    0.2851375686E+01    0.2458466190E+00    0.8488644475E+00
         9    0.1066000000E+01    0.9029326861E+00    0.9314242708E+00    0.7211118362E+00
        10    0.2933000000E+01    0.2987614550E+01    0.2714199208E+00    0.7394447097E+00
        11    0.1418000000E+01    0.1621293501E+01    0.5911972386E+00    0.9090323505E+00
        12    0.4341000000E+01    0.3790295682E+01    0.1384191866E+00    0.5514892954E+00
        13    0.3568000000E+01    0.3211205104E+01    0.2334785228E+00    0.6885272858E+00
        14    0.9660000000E+00    0.1024873615E+01    0.8342334964E+00    0.8165062490E+00
        15    0.2519000000E+01    0.2664641481E+01    0.4249353602E+00    0.6540701815E+00
        16    0.9280000000E+00    0.9088911342E+00    0.9318042580E+00    0.7175152759E+00
        17    0.4118000000E+01    0.3746839758E+01    0.1750856870E+00    0.5142241733E+00
        18    0.8180000000E+00    0.8170247514E+00    0.9312491494E+00    0.7644277932E+00
        19    0.7600000000E+00    0.8429247534E+00    0.9074121514E+00    0.7898315574E+00
        20    0.1375000000E+01    0.1193586767E+01    0.9260765892E+00    0.5841238303E+00
        21    0.3809000000E+01    0.3542838196E+01    0.1737901524E+00    0.6185008545E+00
        22    0.1464000000E+01    0.1558828183E+01    0.6328163260E+00    0.8733159029E+00
        23    0.4256000000E+01    0.4141473747E+01    0.1410644287E+00    0.3713141885E+00
        24    0.1051000000E+01    0.1193636743E+01    0.9247283065E+00    0.5862695491E+00
        25    0.6890000000E+00    0.8985048327E+00    0.9228532908E+00    0.7371292848E+00
        26    0.7210000000E+00    0.7937083473E+00    0.9158282703E+00    0.8009355483E+00
        27    0.8590000000E+00    0.7942124734E+00    0.9324147149E+00    0.7739786102E+00
        28    0.1338000000E+01    0.1429228222E+01    0.8508933511E+00    0.5871296052E+00
        29    0.1202000000E+01    0.1488119139E+01    0.8382390232E+00    0.5780029204E+00
        30    0.2290000000E+01    0.1800271751E+01    0.6111099179E+00    0.7873167795E+00
        31    0.1284000000E+01    0.1343704608E+01    0.8656444672E+00    0.6062215952E+00
        32    0.6600000000E+00    0.1111359127E+01    0.8718289667E+00    0.7126536856E+00
        33    0.3319000000E+01    0.3434378572E+01    0.2134418807E+00    0.6089918884E+00
        34    0.1313000000E+01    0.8179756550E+00    0.8851107206E+00    0.8382349643E+00
        35    0.1015000000E+01    0.1266753215E+01    0.9330896795E+00    0.5361812632E+00
        36    0.9730000000E+00    0.9223591731E+00    0.9310175253E+00    0.7120353586E+00
        37    0.3798000000E+01    0.4057817023E+01    0.6425311112E-01    0.5368877791E+00
        38    0.2641000000E+01    0.2902846346E+01    0.3208758725E+00    0.7022830253E+00
        39    0.4820000000E+00    0.7118048270E+00    0.9315084578E+00    0.8167183004E+00
        40    0.3508000000E+01    0.3400079375E+01    0.2260001053E+00    0.6059545287E+00
        41    0.1132000000E+01    0.1284440574E+01    0.9330910074E+00    0.5273189664E+00
        42    0.1223000000E+01    0.9093267628E+00    0.9219215244E+00    0.7332083936E+00
        43    0.1145000000E+01    0.9329464828E+00    0.9203046857E+00    0.7239796594E+00
        44    0.4133000000E+01    0.4375761749E+01    0.6013564921E-01    0.3842483527E+00
        45    0.1290000000E+01    0.1094854417E+01    0.9330324444E+00    0.6223829726E+00
        46    0.2827000000E+01    0.3026545746E+01    0.1516058971E+00    0.9128450755E+00
        47    0.1174000000E+01    0.1015320069E+01    0.9143101833E+00    0.6923673494E+00
        48    0.4073000000E+01    0.4071306559E+01    0.1397422962E+00    0.4085918101E+00
        49    0.3543000000E+01    0.3700704344E+01    0.1879818273E+00    0.5165719007E+00
        50    0.3456000000E+01    0.3160093469E+01    0.2284976618E+00    0.7221499798E+00
        51    0.1121000000E+01    0.1065061646E+01    0.9288509913E+00    0.6440393135E+00
        52    0.8180000000E+00    0.7937083473E+00    0.9158282703E+00    0.8009355483E+00
        53    0.6060000000E+00    0.8049913151E+00    0.8812821625E+00    0.8509032635E+00
        54    0.2215000000E+01    0.2217524385E+01    0.3492016939E+00    0.9999775668E+00
        55    0.3506000000E+01    0.3301434435E+01    0.1331170499E+00    0.8049119122E+00
        56    0.3028000000E+01    0.2810099025E+01    0.8201531477E-01    0.1133311903E+01
        57    0.7030000000E+00    0.7665013194E+00    0.8879906501E+00    0.8593833652E+00
        58    0.8110000000E+00    0.8917854677E+00    0.9314455279E+00    0.7266616072E+00
        59    0.2522000000E+01    0.2808505664E+01    0.3884838695E+00    0.6406914541E+00
        60    0.2441000000E+01    0.2676398628E+01    0.4228990594E+00    0.6514591263E+00
        61    0.9530000000E+00    0.8148064873E+00    0.9230768282E+00    0.7786965423E+00
        62    0.1482000000E+01    0.1388175431E+01    0.9088825643E+00    0.5143308145E+00
        63    0.2635000000E+01    0.2902846346E+01    0.3208758725E+00    0.7022830253E+00
        64    0.3659000000E+01    0.4294129528E+01   -0.2909668329E-01    0.5688058113E+00
        65    0.1198000000E+01    0.1184542470E+01    0.8339616704E+00    0.7369606995E+00
        66    0.1313000000E+01    0.1015320069E+01    0.9143101833E+00    0.6923673494E+00
        67    0.8460000000E+00    0.1008869776E+01    0.9328990808E+00    0.6656701235E+00
        68    0.1537000000E+01    0.1447317444E+01    0.9135642890E+00    0.4771670630E+00
        69    0.9030000000E+00    0.1085758900E+01    0.8619599791E+00    0.7413668581E+00
        70    0.1063000000E+01    0.1140394378E+01    0.8487644933E+00    0.7352431292E+00
        71    0.1063000000E+01    0.9229142699E+00    0.9317284397E+00    0.7106127110E+00
        72    0.8120000000E+00    0.8391040800E+00    0.8807881457E+00    0.8346104715E+00
        73    0.3733000000E+01    0.3644645050E+01    0.2058513520E+00    0.5158835972E+00
        74    0.1471000000E+01    0.1343036316E+01    0.8718289667E+00    0.5965992339E+00
        75    0.1082000000E+01    0.1180481906E+01    0.8408357894E+00    0.7279273378E+00
        76    0.3972000000E+01    0.3827865256E+01    0.1463431187E+00    0.5199118641E+00
        77    0.1418000000E+01    0.1517405256E+01    0.6507435549E+00    0.8652028742E+00
        78    0.1318000000E+01    0.1459209250E+01    0.8436258431E+00    0.5838119463E+00
        79    0.3793000000E+01    0.3675582273E+01    0.2159628484E+00    0.4841065118E+00
        80    0.6770000000E+00    0.8610054712E+00    0.9325181488E+00    0.7403533492E+00
        81    0.9610000000E+00    0.8884243249E+00    0.9029696643E+00    0.7741918447E+00
        82    0.3442000000E+01    0.3731786636E+01    0.1763801545E+00    0.5196806490E+00
        83    0.9490000000E+00    0.8893690631E+00    0.9312937753E+00    0.7281163847E+00
        84    0.1061000000E+01    0.7470740310E+00    0.9289889053E+00    0.8031073519E+00
        85    0.9630000000E+00    0.1096848929E+01    0.9329913020E+00    0.6214500980E+00
        86    0.4052000000E+01    0.4092682791E+01    0.2418373412E-01    0.5839346613E+00
        87    0.2584000000E+01    0.2723705334E+01    0.3969678738E+00    0.6695112644E+00
        88    0.2421000000E+01    0.2774143340E+01    0.1750856870E+00    0.1001478659E+01
        89    0.3658000000E+01    0.3525741626E+01    0.2893461250E+00    0.4410183536E+00
        90    0.7510000000E+00    0.8067090751E+00    0.8893098703E+00    0.8371180624E+00
        91    0.3594000000E+01    0.3364077277E+01    0.2372016196E+00    0.6059545287E+00
        92    0.1423000000E+01    0.1231300151E+01    0.9068026144E+00    0.5962633660E+00
        93    0.1443000000E+01    0.1482110418E+01    0.6395606778E+00    0.9008877650E+00
        94    0.1305000000E+01    0.1359185891E+01    0.8684065338E+00    0.5940195639E+00
        95    0.1031000000E+01    0.8121489918E+00    0.8858812810E+00    0.8399131118E+00
        96    0.1288000000E+01    0.1222849136E+01    0.9060838565E+00    0.6016539575E+00
        97    0.9820000000E+00    0.1118966997E+01    0.9215575917E+00    0.6287788878E+00
        98    0.1070000000E+01    0.1138990084E+01    0.9231885500E+00    0.6161228232E+00
        99    0.6880000000E+00    0.8575906435E+00    0.9325779720E+00    0.7419676285E+00
       100    0.1169000000E+01    0.1294221689E+01    0.9330904339E+00    0.5224202191E+00
       101    0.8290000000E+00    0.9070165662E+00    0.9323875018E+00    0.7175152759E+00
       102    0.9670000000E+00    0.1093465729E+01    0.9328842238E+00    0.6233172476E+00
       103    0.1447000000E+01    0.1206792343E+01    0.9014918165E+00    0.6170905626E+00
       104    0.1183000000E+01    0.1248338234E+01    0.9329964043E+00    0.5455560855E+00
       105    0.1260000000E+01    0.1088089460E+01    0.8660445251E+00    0.7336232313E+00
       106    0.9210000000E+00    0.9333433125E+00    0.9195812543E+00    0.7249456094E+00
       107    0.2953000000E+01    0.2971268182E+01    0.2134418807E+00    0.8409785707E+00
       108    0.3511000000E+01    0.3396485056E+01    0.2033120403E+00    0.6442831359E+00
       109    0.1529000000E+01    0.1530077962E+01    0.6577926848E+00    0.8475055173E+00
       110    0.1439000000E+01    0.1597249994E+01    0.6217652475E+00    0.8718615887E+00
       111    0.1229000000E+01    0.1599624816E+01    0.6238619098E+00    0.8672963097E+00
       112    0.3664000000E+01    0.3525741626E+01    0.2893461250E+00    0.4410183536E+00
       113    0.3624000000E+01    0.3542838196E+01    0.1737901524E+00    0.6185008545E+00
       114    0.3368000000E+01    0.3105312781E+01    0.2470767582E+00    0.7196787617E+00
       115    0.1228000000E+01    0.8086932182E+00    0.9249788804E+00    0.7786965423E+00
       116    0.1025000000E+01    0.9012888140E+00    0.9314876213E+00    0.7218333087E+00
       117    0.1472000000E+01    0.1321769745E+01    0.8458579046E+00    0.6490661034E+00
       118    0.1198000000E+01    0.1264463336E+01    0.9329128788E+00    0.5376129880E+00
       119    0.1067000000E+01    0.8717889404E+00    0.9319138301E+00    0.7359245289E+00
       120    0.1081000000E+01    0.8853302243E+00    0.9029696643E+00    0.7757417778E+00
       121    0.1198000000E+01    0.1149155021E+01    0.8534370903E+00    0.7233316995E+00
       122    0.1029000000E+01    0.1161455185E+01    0.9252738948E+00    0.6015119077E+00
       123    0.3474000000E+01    0.3509814756E+01    0.2172215934E+00    0.5651181218E+00
       124    0.4052000000E+01    0.3862037932E+01    0.1331170499E+00    0.5240878407E+00
