     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.1436000000E+01    0.1232375226E+01   -0.4923972049E+01   -0.1458688945E+00    0.1101326785E+03
         2    0.1038000000E+01    0.1049112522E+01   -0.4886161432E+01   -0.5123824224E+00    0.2719455707E+02
         3    0.1419000000E+01    0.1411230162E+01   -0.5070987435E+01   -0.1767740854E-01    0.3514871227E+02
         4    0.9540000000E+00    0.9930374089E+00   -0.5198331640E+01   -0.3085641236E+00    0.4372386523E+02
         5    0.1306000000E+01    0.1402818731E+01   -0.3999657967E+01   -0.5936186716E+00    0.1377167209E+03
         6    0.4719000000E+01    0.4605320767E+01   -0.1022329357E+01    0.1525013136E+00    0.5154032895E+02
         7    0.1402000000E+01    0.1401603434E+01   -0.5069007685E+01   -0.3023282354E-01    0.3417201896E+02
         8    0.2789000000E+01    0.3044819305E+01   -0.1989069347E+01   -0.5721101855E+00    0.8711942690E+02
         9    0.1066000000E+01    0.9156943369E+00   -0.5370022440E+01   -0.3115268227E+00    0.1714200914E+02
        10    0.2933000000E+01    0.3160248123E+01   -0.2114404131E+01   -0.3533471538E+00    0.9635686681E+02
        11    0.1418000000E+01    0.1330779798E+01   -0.3688931364E+01   -0.6654382674E+00    0.2491356492E+03
        12    0.4341000000E+01    0.4214145016E+01   -0.1043286944E+01   -0.1505069212E+00    0.7962522112E+02
        13    0.3568000000E+01    0.3278193417E+01   -0.2214634642E+01   -0.3022877542E+00    0.2881000608E+02
        14    0.9660000000E+00    0.1040444844E+01   -0.4988001036E+01   -0.4643441766E+00    0.1862333564E+02
        15    0.2519000000E+01    0.2542063574E+01   -0.2922883225E+01   -0.2623157398E+00    0.1467406999E+03
        16    0.9280000000E+00    0.8971986243E+00   -0.5397640204E+01   -0.3070767941E+00    0.1827524349E+02
        17    0.4118000000E+01    0.3935524562E+01   -0.1547667409E+01   -0.1159981806E+00    0.4816066285E+02
        18    0.8180000000E+00    0.7004811777E+00   -0.5578451918E+01   -0.3712353993E+00    0.1506686573E+02
        19    0.7600000000E+00    0.9858670045E+00   -0.5088971915E+01   -0.4252636336E+00    0.2799400523E+02
