Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1450000000E+01    0.1946836022E+01   -0.4968360216E+00
    0.2817000000E+01    0.3341801469E+01   -0.5248014691E+00
    0.4260000000E+01    0.3739336047E+01    0.5206639529E+00
    0.1153000000E+01    0.1198511542E+01   -0.4551154171E-01
    0.4162000000E+01    0.3855688818E+01    0.3063111819E+00
    0.1113000000E+01    0.8403055955E+00    0.2726944045E+00
    0.2669000000E+01    0.3190139466E+01   -0.5211394659E+00
    0.1402000000E+01    0.1623552684E+01   -0.2215526838E+00
    0.1146000000E+01    0.8172325979E+00    0.3287674021E+00
    0.2938000000E+01    0.3321377103E+01   -0.3833771033E+00
    0.1391000000E+01    0.1542344290E+01   -0.1513442899E+00
    0.9000000000E+00    0.9354512746E+00   -0.3545127456E-01
    0.2802000000E+01    0.3330986788E+01   -0.5289867875E+00
    0.1209000000E+01    0.1308359940E+01   -0.9935993974E-01
    0.1009000000E+01    0.8356566669E+00    0.1733433331E+00
    0.3307000000E+01    0.3609621630E+01   -0.3026216298E+00
    0.1268000000E+01    0.1488321270E+01   -0.2203212697E+00
    0.4143000000E+01    0.3802905378E+01    0.3400946217E+00
    0.1078000000E+01    0.1182041450E+01   -0.1040414496E+00
    0.2401000000E+01    0.3206593873E+01   -0.8055938729E+00
    0.8930000000E+00    0.8937215817E+00   -0.7215816557E-03
    0.1290000000E+01    0.1252010801E+01    0.3798919916E-01
    0.1496000000E+01    0.1040129137E+01    0.4558708634E+00
    0.3469000000E+01    0.2933342131E+01    0.5356578688E+00
    0.1885000000E+01    0.1646455547E+01    0.2385444529E+00
    0.3391000000E+01    0.3648544873E+01   -0.2575448732E+00
    0.1088000000E+01    0.1428212493E+01   -0.3402124929E+00
    0.9010000000E+00    0.1396908350E+01   -0.4959083495E+00
    0.1039000000E+01    0.1428212493E+01   -0.3892124929E+00
    0.1211000000E+01    0.9688112969E+00    0.2421887031E+00
    0.3440000000E+00    0.8037095107E+00   -0.4597095107E+00
    0.1028000000E+01    0.1007663278E+01    0.2033672185E-01
Prediction RMSE and MaxAE:         0.3623635293        0.8055938729
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1450000000E+01    0.9989262434E+00    0.4510737566E+00
    0.2817000000E+01    0.2919919000E+01   -0.1029190004E+00
    0.4260000000E+01    0.3770336636E+01    0.4896633639E+00
    0.1153000000E+01    0.1139563127E+01    0.1343687335E-01
    0.4162000000E+01    0.4357803775E+01   -0.1958037746E+00
    0.1113000000E+01    0.1165855414E+01   -0.5285541434E-01
    0.2669000000E+01    0.2805589406E+01   -0.1365894061E+00
    0.1402000000E+01    0.9003878639E+00    0.5016121361E+00
    0.1146000000E+01    0.1307378963E+01   -0.1613789627E+00
    0.2938000000E+01    0.2792573226E+01    0.1454267740E+00
    0.1391000000E+01    0.1388175431E+01    0.2824568896E-02
    0.9000000000E+00    0.1264283071E+01   -0.3642830710E+00
    0.2802000000E+01    0.2921534873E+01   -0.1195348731E+00
    0.1209000000E+01    0.1352046652E+01   -0.1430466516E+00
    0.1009000000E+01    0.1280218837E+01   -0.2712188371E+00
    0.3307000000E+01    0.3428691961E+01   -0.1216919610E+00
    0.1268000000E+01    0.9180805030E+00    0.3499194970E+00
    0.4143000000E+01    0.4336682440E+01   -0.1936824397E+00
    0.1078000000E+01    0.1200092782E+01   -0.1220927822E+00
    0.2401000000E+01    0.2627178871E+01   -0.2261788713E+00
    0.8930000000E+00    0.1244986796E+01   -0.3519867964E+00
    0.1290000000E+01    0.1162889316E+01    0.1271106838E+00
    0.1496000000E+01    0.1052583765E+01    0.4434162353E+00
    0.3469000000E+01    0.3367046039E+01    0.1019539615E+00
    0.1885000000E+01    0.1768751119E+01    0.1162488806E+00
    0.3391000000E+01    0.3251437441E+01    0.1395625593E+00
    0.1088000000E+01    0.9930962222E+00    0.9490377777E-01
    0.9010000000E+00    0.1037832418E+01   -0.1368324178E+00
    0.1039000000E+01    0.9930962222E+00    0.4590377777E-01
    0.1211000000E+01    0.8766601091E+00    0.3343398909E+00
    0.3440000000E+00    0.7689281119E+00   -0.4249281119E+00
    0.1028000000E+01    0.9328217630E+00    0.9517823703E-01
Prediction RMSE and MaxAE:         0.2503594624        0.5016121361
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.1450000000E+01    0.1448368491E+01    0.1631509308E-02
    0.2817000000E+01    0.3118035370E+01   -0.3010353696E+00
    0.4260000000E+01    0.3934360888E+01    0.3256391122E+00
    0.1153000000E+01    0.1291652062E+01   -0.1386520622E+00
    0.4162000000E+01    0.4186871665E+01   -0.2487166517E-01
    0.1113000000E+01    0.1143934643E+01   -0.3093464335E-01
    0.2669000000E+01    0.2468175310E+01    0.2008246898E+00
    0.1402000000E+01    0.1187532754E+01    0.2144672458E+00
    0.1146000000E+01    0.1218539152E+01   -0.7253915186E-01
    0.2938000000E+01    0.2908402718E+01    0.2959728196E-01
    0.1391000000E+01    0.1340482099E+01    0.5051790141E-01
    0.9000000000E+00    0.1193501017E+01   -0.2935010172E+00
    0.2802000000E+01    0.2920071238E+01   -0.1180712376E+00
    0.1209000000E+01    0.1230263565E+01   -0.2126356543E-01
    0.1009000000E+01    0.1206465329E+01   -0.1974653294E+00
    0.3307000000E+01    0.3398738105E+01   -0.9173810519E-01
    0.1268000000E+01    0.9439526824E+00    0.3240473176E+00
    0.4143000000E+01    0.4254072402E+01   -0.1110724016E+00
    0.1078000000E+01    0.1297448157E+01   -0.2194481570E+00
    0.2401000000E+01    0.2610715791E+01   -0.2097157910E+00
    0.8930000000E+00    0.1188795543E+01   -0.2957955426E+00
    0.1290000000E+01    0.1324325955E+01   -0.3432595504E-01
    0.1496000000E+01    0.1225666679E+01    0.2703333212E+00
    0.3469000000E+01    0.3461338176E+01    0.7661824053E-02
    0.1885000000E+01    0.1707034694E+01    0.1779653059E+00
    0.3391000000E+01    0.3402074654E+01   -0.1107465440E-01
    0.1088000000E+01    0.1087779314E+01    0.2206863664E-03
    0.9010000000E+00    0.9754319653E+00   -0.7443196535E-01
    0.1039000000E+01    0.1087779314E+01   -0.4877931363E-01
    0.1211000000E+01    0.1007203326E+01    0.2037966742E+00
    0.3440000000E+00    0.7827984632E+00   -0.4387984632E+00
    0.1028000000E+01    0.9214437679E+00    0.1065562321E+00
Prediction RMSE and MaxAE:         0.1868209402        0.4387984632
Predictions (y,pred,y-pred) by the model of dimension:     4
    0.1450000000E+01    0.1565596937E+01   -0.1155969368E+00
    0.2817000000E+01    0.3203595560E+01   -0.3865955597E+00
    0.4260000000E+01    0.3868263860E+01    0.3917361399E+00
    0.1153000000E+01    0.1356209658E+01   -0.2032096577E+00
    0.4162000000E+01    0.4126994674E+01    0.3500532611E-01
    0.1113000000E+01    0.1173890408E+01   -0.6089040788E-01
    0.2669000000E+01    0.2608132431E+01    0.6086756894E-01
    0.1402000000E+01    0.1312567099E+01    0.8943290118E-01
    0.1146000000E+01    0.1252461308E+01   -0.1064613079E+00
    0.2938000000E+01    0.2900658786E+01    0.3734121360E-01
    0.1391000000E+01    0.1440733291E+01   -0.4973329076E-01
    0.9000000000E+00    0.1080298650E+01   -0.1802986502E+00
    0.2802000000E+01    0.3023568388E+01   -0.2215683882E+00
    0.1209000000E+01    0.1126972227E+01    0.8202777284E-01
    0.1009000000E+01    0.1160289130E+01   -0.1512891299E+00
    0.3307000000E+01    0.3267034427E+01    0.3996557263E-01
    0.1268000000E+01    0.1016622026E+01    0.2513779737E+00
    0.4143000000E+01    0.4127514583E+01    0.1548541724E-01
    0.1078000000E+01    0.1176411071E+01   -0.9841107130E-01
    0.2401000000E+01    0.2617566292E+01   -0.2165662917E+00
    0.8930000000E+00    0.1075885906E+01   -0.1828859060E+00
    0.1290000000E+01    0.1356727410E+01   -0.6672740984E-01
    0.1496000000E+01    0.1171767953E+01    0.3242320474E+00
    0.3469000000E+01    0.3413220459E+01    0.5577954086E-01
    0.1885000000E+01    0.1791687466E+01    0.9331253360E-01
    0.3391000000E+01    0.3450795505E+01   -0.5979550530E-01
    0.1088000000E+01    0.1202317981E+01   -0.1143179805E+00
    0.9010000000E+00    0.1085231183E+01   -0.1842311827E+00
    0.1039000000E+01    0.1202317981E+01   -0.1633179805E+00
    0.1211000000E+01    0.1083086609E+01    0.1279133908E+00
    0.3440000000E+00    0.6758781627E+00   -0.3318781627E+00
    0.1028000000E+01    0.9553805998E+00    0.7261940019E-01
Prediction RMSE and MaxAE:         0.1755455881        0.3917361399
