     Index       y_measurement           y_fitting        descriptor_1
         1    0.2417000000E+01    0.2649761652E+01    0.1932524390E+03
         2    0.2375000000E+01    0.2604648568E+01    0.1895961574E+03
         3    0.6730000000E+00    0.9026196629E+00    0.5165176607E+02
         4    0.7530000000E+00    0.7677540349E+00    0.4072130719E+02
         5    0.9360000000E+00    0.8763404154E+00    0.4952191106E+02
         6    0.8530000000E+00    0.1061105306E+01    0.6449655710E+02
         7    0.9260000000E+00    0.9737832341E+00    0.5741936231E+02
         8    0.9410000000E+00    0.9411393405E+00    0.5477367162E+02
         9    0.1015000000E+01    0.1012168103E+01    0.6053034200E+02
        10    0.1783000000E+01    0.1754336765E+01    0.1206809094E+03
        11    0.1216000000E+01    0.8055412581E+00    0.4378384948E+02
        12    0.8750000000E+00    0.1113006741E+01    0.6870301433E+02
        13    0.6930000000E+00    0.1008174281E+01    0.6020665458E+02
        14    0.9740000000E+00    0.8765687012E+00    0.4954041294E+02
        15    0.1044000000E+01    0.9450925747E+00    0.5509406952E+02
        16    0.1234000000E+01    0.1245162754E+01    0.7941386696E+02
        17    0.1137000000E+01    0.1127368710E+01    0.6986700933E+02
        18    0.8170000000E+00    0.9507035867E+00    0.5554882539E+02
        19    0.8940000000E+00    0.9352476580E+00    0.5429616824E+02
        20    0.8490000000E+00    0.9494800747E+00    0.5544966337E+02
        21    0.1008000000E+01    0.1061165510E+01    0.6450143641E+02
        22    0.9080000000E+00    0.9823731126E+00    0.5811554647E+02
        23    0.1234000000E+01    0.1202328994E+01    0.7594231787E+02
        24    0.9460000000E+00    0.1014074120E+01    0.6068481906E+02
        25    0.2121000000E+01    0.2089695049E+01    0.1478607030E+03
        26    0.1147000000E+01    0.1038022615E+01    0.6262577351E+02
        27    0.1092000000E+01    0.1276196129E+01    0.8192902995E+02
        28    0.1013000000E+01    0.9662526416E+00    0.5680903014E+02
        29    0.2399000000E+01    0.2564354320E+01    0.1863304282E+03
        30    0.1324000000E+01    0.1182984069E+01    0.7437446907E+02
        31    0.1217000000E+01    0.1221359532E+01    0.7748468649E+02
        32    0.9580000000E+00    0.8479439187E+00    0.4722045928E+02
        33    0.8320000000E+00    0.8707035746E+00    0.4906506184E+02
        34    0.1151000000E+01    0.9482674731E+00    0.5535138561E+02
        35    0.8250000000E+00    0.8743921815E+00    0.4936401248E+02
        36    0.1104000000E+01    0.9942739534E+00    0.5908007430E+02
        37    0.8260000000E+00    0.7631521794E+00    0.4034834046E+02
        38    0.8810000000E+00    0.9411393405E+00    0.5477367162E+02
        39    0.1072000000E+01    0.1017238764E+01    0.6094130403E+02
        40    0.1163000000E+01    0.1278352640E+01    0.8210380872E+02
        41    0.9870000000E+00    0.9793322065E+00    0.5786909006E+02
        42    0.2086000000E+01    0.2083884878E+01    0.1473898059E+03
        43    0.2373000000E+01    0.2196985145E+01    0.1565562469E+03
        44    0.1741000000E+01    0.1548590171E+01    0.1040057586E+03
        45    0.9860000000E+00    0.9321020159E+00    0.5404122328E+02
        46    0.1221000000E+01    0.9383498044E+00    0.5454758800E+02
        47    0.2253000000E+01    0.2122399563E+01    0.1505113068E+03
        48    0.1041000000E+01    0.9257251718E+00    0.5352439899E+02
        49    0.9780000000E+00    0.9441609684E+00    0.5501856559E+02
        50    0.2058000000E+01    0.1919428013E+01    0.1340610651E+03
        51    0.2200000000E+01    0.2122399563E+01    0.1505113068E+03
        52    0.2120000000E+01    0.2078148022E+01    0.1469248507E+03
        53    0.7820000000E+00    0.8413167925E+00    0.4668335037E+02
        54    0.8700000000E+00    0.7898106991E+00    0.4250893436E+02
        55    0.1017000000E+01    0.9972383350E+00    0.5932032863E+02
