     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2417000000E+01    0.2566536390E+01   -0.4393761843E+01   -0.1774420547E+01
         2    0.2375000000E+01    0.2632034039E+01   -0.4089815952E+01   -0.1101177997E+01
         3    0.6730000000E+00    0.7320296165E+00   -0.1420026354E+00   -0.1420422112E+01
         4    0.7530000000E+00    0.6543666513E+00   -0.1380079992E+00   -0.1670311187E+01
         5    0.9360000000E+00    0.1008910172E+01   -0.2259920502E+00   -0.6344965502E+00
         6    0.8530000000E+00    0.9892741144E+00   -0.3294405752E+00   -0.8548836786E+00
         7    0.9260000000E+00    0.1066043134E+01   -0.2398890057E+00   -0.4671568007E+00
         8    0.9410000000E+00    0.1005297192E+01   -0.2605651634E+00   -0.6984325616E+00
         9    0.1015000000E+01    0.8226399785E+00   -0.4768159939E+00   -0.1625740329E+01
        10    0.1783000000E+01    0.1926344973E+01   -0.2355664028E+01   -0.8166053812E+00
        11    0.1216000000E+01    0.9940685492E+00   -0.9519672187E-01   -0.4865581247E+00
        12    0.8750000000E+00    0.9451081237E+00   -0.5590481312E+00   -0.1345961761E+01
        13    0.6930000000E+00    0.9962282387E+00   -0.3814739808E+00   -0.9102779494E+00
        14    0.9740000000E+00    0.9348437200E+00   -0.2113240428E+00   -0.8564720464E+00
        15    0.1044000000E+01    0.9781635019E+00   -0.1451229076E+00   -0.6141024875E+00
        16    0.1234000000E+01    0.1175915422E+01   -0.7227244906E+00   -0.8317741218E+00
        17    0.1137000000E+01    0.1036982747E+01   -0.4670682376E+00   -0.9048071183E+00
        18    0.8170000000E+00    0.9834703086E+00   -0.2839139701E+00   -0.8054915674E+00
        19    0.8940000000E+00    0.9964904764E+00   -0.2480583994E+00   -0.7086286574E+00
        20    0.8490000000E+00    0.6560977670E+00   -0.3393026415E+00   -0.1967547667E+01
        21    0.1008000000E+01    0.9910693398E+00   -0.3754623558E+00   -0.9182293528E+00
        22    0.9080000000E+00    0.1073484221E+01   -0.2608138051E+00   -0.4741292902E+00
        23    0.1234000000E+01    0.1161268924E+01   -0.7509501592E+00   -0.9225131169E+00
        24    0.9460000000E+00    0.8530046858E+00   -0.3648679559E+00   -0.1357210677E+01
        25    0.2121000000E+01    0.2093132078E+01   -0.2698225282E+01   -0.7825801570E+00
        26    0.1147000000E+01    0.1048725226E+01   -0.3151512372E+00   -0.6374863204E+00
        27    0.1092000000E+01    0.1097680193E+01   -0.7574353190E+00   -0.1141799022E+01
        28    0.1013000000E+01    0.9851988577E+00   -0.3086663017E+00   -0.8370472554E+00
        29    0.2399000000E+01    0.2260992303E+01   -0.3263425621E+01   -0.1080082072E+01
        30    0.1324000000E+01    0.1143911996E+01   -0.5217711568E+00   -0.6347990963E+00
        31    0.1217000000E+01    0.1133637640E+01   -0.6854287487E+00   -0.9149515340E+00
        32    0.9580000000E+00    0.9040188959E+00   -0.1946474464E+00   -0.9329427648E+00
        33    0.8320000000E+00    0.9511721363E+00   -0.1205544866E+00   -0.6660650057E+00
        34    0.1151000000E+01    0.1053590642E+01   -0.2381065727E+00   -0.5055054933E+00
        35    0.8250000000E+00    0.9449103608E+00   -0.1385144489E+00   -0.7137267053E+00
        36    0.1104000000E+01    0.1042787699E+01   -0.2748983779E+00   -0.5964716037E+00
        37    0.8260000000E+00    0.8918330767E+00   -0.1544173730E+00   -0.9125505732E+00
        38    0.8810000000E+00    0.1005376904E+01   -0.2607396880E+00   -0.6984325616E+00
        39    0.1072000000E+01    0.1092788142E+01   -0.2845465186E+00   -0.4462393320E+00
        40    0.1163000000E+01    0.1152834863E+01   -0.6571177305E+00   -0.8090893731E+00
        41    0.9870000000E+00    0.1034179678E+01   -0.2662141400E+00   -0.6117657474E+00
        42    0.2086000000E+01    0.2092088397E+01   -0.2667165482E+01   -0.7392753262E+00
        43    0.2373000000E+01    0.2423800863E+01   -0.3712524603E+01   -0.1219501326E+01
        44    0.1741000000E+01    0.1544741155E+01   -0.1588274425E+01   -0.9191054820E+00
        45    0.9860000000E+00    0.8135224154E+00   -0.2330346767E+00   -0.1288901546E+01
        46    0.1221000000E+01    0.1039569742E+01   -0.2074086883E+00   -0.5055054933E+00
        47    0.2253000000E+01    0.2361303063E+01   -0.3467367412E+01   -0.1056480735E+01
        48    0.1041000000E+01    0.1035559849E+01   -0.2542253279E+00   -0.5891753680E+00
        49    0.9780000000E+00    0.1048688099E+01   -0.2250562592E+00   -0.5020192485E+00
        50    0.2058000000E+01    0.2007509555E+01   -0.2508704770E+01   -0.7794869548E+00
        51    0.2200000000E+01    0.2362622796E+01   -0.3470256885E+01   -0.1056480735E+01
        52    0.2120000000E+01    0.2090093946E+01   -0.2736790905E+01   -0.8506306055E+00
        53    0.7820000000E+00    0.8634298574E+00   -0.2667475375E+00   -0.1175192173E+01
        54    0.8700000000E+00    0.7709821962E+00   -0.1748520640E+00   -0.1341509773E+01
        55    0.1017000000E+01    0.1046918238E+01   -0.2805544409E+00   -0.5913735558E+00
        56    0.7840000000E+00    0.9490133050E+00   -0.3736027157E+00   -0.1054006047E+01
        57    0.2274000000E+01    0.2160586122E+01   -0.2798638942E+01   -0.7114365064E+00
        58    0.2090000000E+01    0.2093739429E+01   -0.2689278352E+01   -0.7671141460E+00
        59    0.8470000000E+00    0.1025157976E+01   -0.2701741553E+00   -0.6474520827E+00
        60    0.2149000000E+01    0.2057924259E+01   -0.2602641921E+01   -0.7547413372E+00
        61    0.1039000000E+01    0.9834921761E+00   -0.3854234619E+00   -0.9581873152E+00
        62    0.2491000000E+01    0.2512688346E+01   -0.4139163722E+01   -0.1568690628E+01
        63    0.2735000000E+01    0.2576311310E+01   -0.3838214722E+01   -0.9061353999E+00
        64    0.2085000000E+01    0.2028700996E+01   -0.2594153520E+01   -0.8382577967E+00
        65    0.1189000000E+01    0.1106378476E+01   -0.6458442621E+00   -0.9451978657E+00
        66    0.9620000000E+00    0.1001654984E+01   -0.2031577617E+00   -0.6240378158E+00
        67    0.1234000000E+01    0.9379139909E+00   -0.1197763690E+00   -0.7085797933E+00
        68    0.1115000000E+01    0.1086553269E+01   -0.2616296459E+00   -0.4322943529E+00
        69    0.8590000000E+00    0.9633800368E+00   -0.1221720211E+00   -0.6282740834E+00
        70    0.2265000000E+01    0.2199927810E+01   -0.3518472716E+01   -0.1665126528E+01
        71    0.2462000000E+01    0.2397661084E+01   -0.4083826660E+01   -0.1864427386E+01
        72    0.9110000000E+00    0.9583997837E+00   -0.1987967813E+00   -0.7600013623E+00
        73    0.7420000000E+00    0.6360964909E+00   -0.1635501421E+00   -0.1768951612E+01
        74    0.1346000000E+01    0.9754940954E+00   -0.1235840947E+00   -0.5904831611E+00
        75    0.1012000000E+01    0.9007831294E+00   -0.1943379287E+00   -0.9431388606E+00
        76    0.1840000000E+01    0.1961161627E+01   -0.2485331695E+01   -0.8970286385E+00
        77    0.7630000000E+00    0.8661522470E+00   -0.1896531783E+00   -0.1050197866E+01
        78    0.1221000000E+01    0.1128943415E+01   -0.6801754738E+00   -0.9225131169E+00
        79    0.8710000000E+00    0.9812628835E+00   -0.1676031241E+00   -0.6377218139E+00
        80    0.1048000000E+01    0.7847947831E+00   -0.3141636971E+00   -0.1505655595E+01
        81    0.1116000000E+01    0.1023623774E+01   -0.2165095253E+00   -0.5717441441E+00
        82    0.1185000000E+01    0.1101717234E+01   -0.6657853960E+00   -0.9905673633E+00
        83    0.1193000000E+01    0.1180958156E+01   -0.6707395866E+00   -0.7369229850E+00
        84    0.7470000000E+00    0.9756745719E+00   -0.3302522008E+00   -0.9009158767E+00
        85    0.9590000000E+00    0.9785643135E+00   -0.1647727415E+00   -0.6423540348E+00
        86    0.2181000000E+01    0.2077585134E+01   -0.2672407567E+01   -0.7949529658E+00
        87    0.9720000000E+00    0.1055130949E+01   -0.2414789808E+00   -0.5055054933E+00
        88    0.1224000000E+01    0.1168844821E+01   -0.7122682882E+00   -0.8393357048E+00
        89    0.1221000000E+01    0.1170704376E+01   -0.7314129845E+00   -0.8620204535E+00
        90    0.1145000000E+01    0.9939776470E+00   -0.4162883040E+00   -0.9700878788E+00
        91    0.1008000000E+01    0.9372345465E+00   -0.2736358679E+00   -0.9423710823E+00
        92    0.1082000000E+01    0.1000618674E+01   -0.2798093766E+00   -0.7428101472E+00
        93    0.1092000000E+01    0.1033844170E+01   -0.2504689568E+00   -0.5891753680E+00
        94    0.2428000000E+01    0.2581710264E+01   -0.4448343652E+01   -0.1806565847E+01
        95    0.1348000000E+01    0.1175524032E+01   -0.6029215973E+00   -0.6527651085E+00
        96    0.7660000000E+00    0.1141018633E+01   -0.6965645332E+00   -0.9073899511E+00
        97    0.9800000000E+00    0.9364513573E+00   -0.2192516898E+00   -0.8631056508E+00
        98    0.8790000000E+00    0.1023074464E+01   -0.2268893571E+00   -0.5891753680E+00
        99    0.2251000000E+01    0.2023819610E+01   -0.2880851986E+01   -0.1285811991E+01
       100    0.1058000000E+01    0.1067995078E+01   -0.4709551216E+00   -0.8084705472E+00
       101    0.2335000000E+01    0.2275660035E+01   -0.3974773718E+01   -0.2102302605E+01
       102    0.8790000000E+00    0.9300641313E+00   -0.2177969093E+00   -0.8819622858E+00
       103    0.9340000000E+00    0.9938206319E+00   -0.6152941548E+00   -0.1270101242E+01
       104    0.9420000000E+00    0.9176170752E+00   -0.2998854590E+00   -0.1046515602E+01
       105    0.6650000000E+00    0.6361244094E+00   -0.1636112679E+00   -0.1768951612E+01
       106    0.7100000000E+00    0.8098448496E+00   -0.1510590333E+00   -0.1177649064E+01
       107    0.2799000000E+01    0.2706069129E+01   -0.4230311199E+01   -0.1068670898E+01
       108    0.1413000000E+01    0.1249076487E+01   -0.8732410917E+00   -0.8172286949E+00
       109    0.2039000000E+01    0.2090596106E+01   -0.2663898204E+01   -0.7392753262E+00
       110    0.1785000000E+01    0.1857441398E+01   -0.2252076710E+01   -0.8877490319E+00
       111    0.2069000000E+01    0.2028362962E+01   -0.2583136728E+01   -0.8227917856E+00
       112    0.1031000000E+01    0.1023577501E+01   -0.5238349049E+00   -0.1034409251E+01
       113    0.9360000000E+00    0.9770437125E+00   -0.3276450327E+00   -0.8924808485E+00
       114    0.1116000000E+01    0.8997782854E+00   -0.5251189792E+00   -0.1444262339E+01
       115    0.9590000000E+00    0.9353875968E+00   -0.2226773138E+00   -0.8717661900E+00
       116    0.1002000000E+01    0.9764645634E+00   -0.1549544133E+00   -0.6344965502E+00
       117    0.2036000000E+01    0.2036240333E+01   -0.2561332328E+01   -0.7640209438E+00
       118    0.1970000000E+01    0.1983041682E+01   -0.2457189226E+01   -0.7825801570E+00
       119    0.9900000000E+00    0.1004718507E+01   -0.1561804938E+00   -0.5432445082E+00
       120    0.1568000000E+01    0.1544741155E+01   -0.1588274425E+01   -0.9191054820E+00
       121    0.3570000000E+00    0.3856971189E+00   -0.3944091723E+00   -0.2941455758E+01
       122    0.1081000000E+01    0.1093321759E+01   -0.6423795891E+00   -0.9830057803E+00
       123    0.8440000000E+00    0.9490781616E+00   -0.3737447151E+00   -0.1054006047E+01
       124    0.1413000000E+01    0.1180758468E+01   -0.7132302822E+00   -0.8015277901E+00
       125    0.9410000000E+00    0.8997741834E+00   -0.2056788866E+00   -0.9635310522E+00
       126    0.2633000000E+01    0.2463786614E+01   -0.3643148835E+01   -0.9833397613E+00
       127    0.2627000000E+01    0.2533167194E+01   -0.3891503646E+01   -0.1128493764E+01
       128    0.9880000000E+00    0.8491344050E+00   -0.2629396596E+00   -0.1216565235E+01
       129    0.7880000000E+00    0.8134374705E+00   -0.2328486953E+00   -0.1288901546E+01
       130    0.1152000000E+01    0.1094712244E+01   -0.4618028120E+00   -0.7066631450E+00
       131    0.2045000000E+01    0.2093132078E+01   -0.2698225282E+01   -0.7825801570E+00
       132    0.1115000000E+01    0.1016021590E+01   -0.3969552811E+00   -0.8683572544E+00
       133    0.1234000000E+01    0.1110866243E+01   -0.5369638539E+00   -0.7665498522E+00
       134    0.1064000000E+01    0.1089126795E+01   -0.4058016617E+00   -0.6407877670E+00
       135    0.8030000000E+00    0.8098448496E+00   -0.1510590333E+00   -0.1177649064E+01
       136    0.9540000000E+00    0.8871060656E+00   -0.1339053904E+00   -0.8972564295E+00
       137    0.8040000000E+00    0.9850995104E+00   -0.1923921083E+00   -0.6623865084E+00
       138    0.6960000000E+00    0.1062780896E+01   -0.6358055357E+00   -0.1073744775E+01
       139    0.2311000000E+01    0.2305188167E+01   -0.3603688694E+01   -0.1446538489E+01
       140    0.8890000000E+00    0.1001715330E+01   -0.2493354030E+00   -0.6933345137E+00
       141    0.2576000000E+01    0.2515411971E+01   -0.3731879373E+01   -0.9467692743E+00
       142    0.1380000000E+01    0.1137097982E+01   -0.6729071964E+00   -0.8847052023E+00
       143    0.9850000000E+00    0.9505073132E+00   -0.1722507008E+00   -0.7460563832E+00
       144    0.7620000000E+00    0.9217078280E+00   -0.2367637557E+00   -0.9380408127E+00
       145    0.3470000000E+00    0.7092251456E+00   -0.4445521511E+00   -0.1950888395E+01
       146    0.9470000000E+00    0.1006505916E+01   -0.2507615229E+00   -0.6796957000E+00
       147    0.6340000000E+00    0.7093795273E+00   -0.4448901602E+00   -0.1950888395E+01
       148    0.2047000000E+01    0.2094324141E+01   -0.2680281854E+01   -0.7516481350E+00
       149    0.2535000000E+01    0.2436726219E+01   -0.3597401767E+01   -0.1003656699E+01
       150    0.7720000000E+00    0.9918855450E+00   -0.2165157161E+00   -0.6763314875E+00
       151    0.1088000000E+01    0.1038538041E+01   -0.4549162476E+00   -0.8813941299E+00
       152    0.1100000000E+01    0.1060790900E+01   -0.2353390722E+00   -0.4776155350E+00
       153    0.6420000000E+00    0.6889762204E+00   -0.1438704053E+00   -0.1565094735E+01
       154    0.1341000000E+01    0.1082666629E+01   -0.5497023017E+00   -0.8786389436E+00
       155    0.8700000000E+00    0.1052629398E+01   -0.2429514954E+00   -0.5159642276E+00
       156    0.2335000000E+01    0.2397661084E+01   -0.4083826660E+01   -0.1864427386E+01
