     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.2417000000E+01    0.2623578047E+01   -0.4393761843E+01   -0.1774420547E+01    0.5415481673E+00
         2    0.2375000000E+01    0.2597405601E+01   -0.4089815952E+01   -0.1101177997E+01    0.9621903702E+00
         3    0.6730000000E+00    0.7261343992E+00   -0.1420026354E+00   -0.1420422112E+01    0.7647274409E+00
         4    0.7530000000E+00    0.7008744268E+00   -0.1380079992E+00   -0.1670311187E+01    0.5053072417E+00
         5    0.9360000000E+00    0.9654316858E+00   -0.2259920502E+00   -0.6344965502E+00    0.8825437380E+00
         6    0.8530000000E+00    0.9722014929E+00   -0.3294405752E+00   -0.8548836786E+00    0.7647274409E+00
         7    0.9260000000E+00    0.1059589464E+01   -0.2398890057E+00   -0.4671568007E+00    0.6600082422E+00
         8    0.9410000000E+00    0.9545418686E+00   -0.2605651634E+00   -0.6984325616E+00    0.9305732343E+00
         9    0.1015000000E+01    0.8606112454E+00   -0.4768159939E+00   -0.1625740329E+01    0.5536520302E+00
        10    0.1783000000E+01    0.1898226987E+01   -0.2355664028E+01   -0.8166053812E+00    0.8601713726E+00
        11    0.1216000000E+01    0.1281140130E+01   -0.9519672187E-01   -0.4865581247E+00   -0.9542588778E+00
        12    0.8750000000E+00    0.9380125449E+00   -0.5590481312E+00   -0.1345961761E+01    0.7708122032E+00
        13    0.6930000000E+00    0.1006962527E+01   -0.3814739808E+00   -0.9102779494E+00    0.6192323651E+00
        14    0.9740000000E+00    0.9263465894E+00   -0.2113240428E+00   -0.8564720464E+00    0.7154842485E+00
        15    0.1044000000E+01    0.9868157351E+00   -0.1451229076E+00   -0.6141024875E+00    0.5920381765E+00
        16    0.1234000000E+01    0.1158633665E+01   -0.7227244906E+00   -0.8317741218E+00    0.7708122032E+00
        17    0.1137000000E+01    0.1002671826E+01   -0.4670682376E+00   -0.9048071183E+00    0.8678994282E+00
        18    0.8170000000E+00    0.9741611973E+00   -0.2839139701E+00   -0.8054915674E+00    0.7154842485E+00
        19    0.8940000000E+00    0.9912322946E+00   -0.2480583994E+00   -0.7086286574E+00    0.6813765137E+00
