     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4
         1    0.2417000000E+01    0.2650767590E+01   -0.4393761843E+01   -0.1774420547E+01    0.5415481673E+00    0.2499393809E-03
         2    0.2375000000E+01    0.2436920477E+01   -0.4089815952E+01   -0.1101177997E+01    0.9621903702E+00    0.5901964264E+01
         3    0.6730000000E+00    0.7462145697E+00   -0.1420026354E+00   -0.1420422112E+01    0.7647274409E+00    0.9013346371E-03
         4    0.7530000000E+00    0.7010426926E+00   -0.1380079992E+00   -0.1670311187E+01    0.5053072417E+00    0.5811005816E+00
         5    0.9360000000E+00    0.9771929830E+00   -0.2259920502E+00   -0.6344965502E+00    0.8825437380E+00    0.6281774471E-02
         6    0.8530000000E+00    0.9849888488E+00   -0.3294405752E+00   -0.8548836786E+00    0.7647274409E+00    0.1204768878E-02
         7    0.9260000000E+00    0.1065061293E+01   -0.2398890057E+00   -0.4671568007E+00    0.6600082422E+00    0.7874313591E-03
         8    0.9410000000E+00    0.9675049145E+00   -0.2605651634E+00   -0.6984325616E+00    0.9305732343E+00    0.2606077367E-01
         9    0.1015000000E+01    0.8797225000E+00   -0.4768159939E+00   -0.1625740329E+01    0.5536520302E+00    0.7686098801E-02
        10    0.1783000000E+01    0.1909595803E+01   -0.2355664028E+01   -0.8166053812E+00    0.8601713726E+00    0.1873322148E+00
        11    0.1216000000E+01    0.1253777604E+01   -0.9519672187E-01   -0.4865581247E+00   -0.9542588778E+00    0.6701087438E-01
        12    0.8750000000E+00    0.9545583309E+00   -0.5590481312E+00   -0.1345961761E+01    0.7708122032E+00    0.1055195622E+00
        13    0.6930000000E+00    0.1016611715E+01   -0.3814739808E+00   -0.9102779494E+00    0.6192323651E+00    0.3881508852E-01
        14    0.9740000000E+00    0.9380083106E+00   -0.2113240428E+00   -0.8564720464E+00    0.7154842485E+00    0.1982025910E-02
        15    0.1044000000E+01    0.9927767486E+00   -0.1451229076E+00   -0.6141024875E+00    0.5920381765E+00    0.1918468744E-02
        16    0.1234000000E+01    0.1167738024E+01   -0.7227244906E+00   -0.8317741218E+00    0.7708122032E+00    0.1311614310E+00
        17    0.1137000000E+01    0.1016926951E+01   -0.4670682376E+00   -0.9048071183E+00    0.8678994282E+00    0.4500137759E-01
        18    0.8170000000E+00    0.9852455437E+00   -0.2839139701E+00   -0.8054915674E+00    0.7154842485E+00    0.2214050749E-02
        19    0.8940000000E+00    0.9426870436E+00   -0.2480583994E+00   -0.7086286574E+00    0.6813765137E+00    0.1828648383E+01
        20    0.8490000000E+00    0.7149202354E+00   -0.3393026415E+00   -0.1967547667E+01    0.6115671161E+00    0.3395880525E-02
        21    0.1008000000E+01    0.1002787499E+01   -0.3754623558E+00   -0.9182293528E+00    0.6808881056E+00    0.2953087909E-02
        22    0.9080000000E+00    0.1072846731E+01   -0.2608138051E+00   -0.4741292902E+00    0.6600082422E+00    0.8173303877E-03
        23    0.1234000000E+01    0.1156533362E+01   -0.7509501592E+00   -0.9225131169E+00    0.7708122032E+00    0.1253113281E+00
        24    0.9460000000E+00    0.8482803639E+00   -0.3648679559E+00   -0.1357210677E+01    0.8678994282E+00    0.3479493299E-01
        25    0.2121000000E+01    0.2081269648E+01   -0.2698225282E+01   -0.7825801570E+00    0.8689088294E+00    0.5340185636E-02
        26    0.1147000000E+01    0.1037424033E+01   -0.3151512372E+00   -0.6374863204E+00    0.7529340548E+00    0.4565496585E-01
        27    0.1092000000E+01    0.1101266885E+01   -0.7574353190E+00   -0.1141799022E+01    0.7708122032E+00    0.1011218491E+00
        28    0.1013000000E+01    0.9810904979E+00   -0.3086663017E+00   -0.8370472554E+00    0.7529340548E+00    0.3372286124E-01
        29    0.2399000000E+01    0.2267621555E+01   -0.3263425621E+01   -0.1080082072E+01    0.7529163151E+00    0.4322225509E+00
        30    0.1324000000E+01    0.1187308049E+01   -0.5217711568E+00   -0.6347990963E+00    0.4306171578E+00    0.5695013281E-02
        31    0.1217000000E+01    0.1167284854E+01   -0.6854287487E+00   -0.9149515340E+00    0.5536520302E+00    0.1075172319E-01
        32    0.9580000000E+00    0.8741345618E+00   -0.1946474464E+00   -0.9329427648E+00    0.9305732343E+00    0.1994002197E-01
        33    0.8320000000E+00    0.9019067537E+00   -0.1205544866E+00   -0.6660650057E+00    0.9948827983E+00    0.1232876445E-03
        34    0.1151000000E+01    0.1008898706E+01   -0.2381065727E+00   -0.5055054933E+00    0.8299976423E+00    0.5503148104E+00
        35    0.8250000000E+00    0.8533320927E+00   -0.1385144489E+00   -0.7137267053E+00    0.6813765137E+00    0.3013861481E+01
        36    0.1104000000E+01    0.1037323357E+01   -0.2748983779E+00   -0.5964716037E+00    0.7154842485E+00    0.2849689261E-02
        37    0.8260000000E+00    0.8742837923E+00   -0.1544173730E+00   -0.9125505732E+00    0.6813765137E+00    0.8863848717E+00
        38    0.8810000000E+00    0.9563599025E+00   -0.2607396880E+00   -0.6984325616E+00    0.6813765137E+00    0.1667889515E+01
        39    0.1072000000E+01    0.1091311665E+01   -0.2845465186E+00   -0.4462393320E+00    0.6600082422E+00    0.8799723535E-03
        40    0.1163000000E+01    0.8579142584E+00   -0.6571177305E+00   -0.8090893731E+00    0.9821109998E+00    0.8093670933E+01
        41    0.9870000000E+00    0.9933670677E+00   -0.2662141400E+00   -0.6117657474E+00    0.9305732343E+00    0.2841949531E-01
        42    0.2086000000E+01    0.2078589519E+01   -0.2667165482E+01   -0.7392753262E+00    0.8689088294E+00    0.5113245920E-02
        43    0.2373000000E+01    0.2453228426E+01   -0.3712524603E+01   -0.1219501326E+01    0.7357576500E+00    0.2195193473E-01
        44    0.1741000000E+01    0.1559356138E+01   -0.1588274425E+01   -0.9191054820E+00    0.7015705919E+00    0.6127523246E-04
        45    0.9860000000E+00    0.8492721729E+00   -0.2330346767E+00   -0.1288901546E+01    0.6075430751E+00    0.1498797437E-03
        46    0.1221000000E+01    0.9958352910E+00   -0.2074086883E+00   -0.5055054933E+00    0.8299976423E+00    0.5150395878E+00
        47    0.2253000000E+01    0.2404613085E+01   -0.3467367412E+01   -0.1056480735E+01    0.6031675361E+00    0.4952628415E-01
        48    0.1041000000E+01    0.1002407554E+01   -0.2542253279E+00   -0.5891753680E+00    0.8825437380E+00    0.6998973760E-02
        49    0.9780000000E+00    0.1012356318E+01   -0.2250562592E+00   -0.5020192485E+00    0.8825437380E+00    0.8279989911E-02
        50    0.2058000000E+01    0.1994626627E+01   -0.2508704770E+01   -0.7794869548E+00    0.8689088294E+00    0.3893848557E-02
        51    0.2200000000E+01    0.2248542743E+01   -0.3470256885E+01   -0.1056480735E+01    0.9621903702E+00    0.3185563651E+01
        52    0.2120000000E+01    0.2117254032E+01   -0.2736790905E+01   -0.8506306055E+00    0.6457427874E+00    0.4598789912E-03
        53    0.7820000000E+00    0.8709922128E+00   -0.2667475375E+00   -0.1175192173E+01    0.7529340548E+00    0.2492952055E-01
        54    0.8700000000E+00    0.8113678887E+00   -0.1748520640E+00   -0.1341509773E+01    0.5053072417E+00    0.4287151705E+00
        55    0.1017000000E+01    0.1041312651E+01   -0.2805544409E+00   -0.5913735558E+00    0.7154842485E+00    0.2688774001E-02
        56    0.7840000000E+00    0.9744034052E+00   -0.3736027157E+00   -0.1054006047E+01    0.6192323651E+00    0.3521632033E-01
        57    0.2274000000E+01    0.2183280308E+01   -0.2798638942E+01   -0.7114365064E+00    0.6457427874E+00    0.5181923777E-03
        58    0.2090000000E+01    0.2081305667E+01   -0.2689278352E+01   -0.7671141460E+00    0.8689088294E+00    0.5187981482E-02
        59    0.8470000000E+00    0.1021431039E+01   -0.2701741553E+00   -0.6474520827E+00    0.7154842485E+00    0.2481606075E-02
        60    0.2149000000E+01    0.2044651432E+01   -0.2602641921E+01   -0.7547413372E+00    0.8689088294E+00    0.4413942256E-02
        61    0.1039000000E+01    0.1037360569E+01   -0.3854234619E+00   -0.9581873152E+00    0.4306171578E+00    0.3671571302E-02
        62    0.2491000000E+01    0.2528123127E+01   -0.4139163722E+01   -0.1568690628E+01    0.9105262951E+00    0.1185109277E-01
        63    0.2735000000E+01    0.2615411144E+01   -0.3838214722E+01   -0.9061353999E+00    0.6031675361E+00    0.7895654302E-01
        64    0.2085000000E+01    0.2018250186E+01   -0.2594153520E+01   -0.8382577967E+00    0.8689088294E+00    0.4457934684E-02
        65    0.1189000000E+01    0.1102031774E+01   -0.6458442621E+00   -0.9451978657E+00    0.7708122032E+00    0.1207893000E+00
        66    0.9620000000E+00    0.9694500507E+00   -0.2031577617E+00   -0.6240378158E+00    0.8825437380E+00    0.6697748882E-02
        67    0.1234000000E+01    0.1205272346E+01   -0.1197763690E+00   -0.7085797933E+00   -0.9542588778E+00    0.7003116381E-01
        68    0.1115000000E+01    0.1084482608E+01   -0.2616296459E+00   -0.4322943529E+00    0.6600082422E+00    0.8639490121E-03
        69    0.8590000000E+00    0.9128246770E+00   -0.1221720211E+00   -0.6282740834E+00    0.9948827983E+00    0.1592107821E-03
        70    0.2265000000E+01    0.2233929066E+01   -0.3518472716E+01   -0.1665126528E+01    0.7529163151E+00    0.2420369986E+00
        71    0.2462000000E+01    0.2423009370E+01   -0.4083826660E+01   -0.1864427386E+01    0.9105262951E+00    0.1046589473E-01
        72    0.9110000000E+00    0.9307350290E+00   -0.1987967813E+00   -0.7600013623E+00    0.8299976423E+00    0.2811766163E+00
        73    0.7420000000E+00    0.6928560583E+00   -0.1635501421E+00   -0.1768951612E+01    0.5053072417E+00    0.3729099394E+00
        74    0.1346000000E+01    0.1236384407E+01   -0.1235840947E+00   -0.5904831611E+00   -0.9542588778E+00    0.1471784026E+00
        75    0.1012000000E+01    0.8712028665E+00   -0.1943379287E+00   -0.9431388606E+00    0.9305732343E+00    0.2134425306E-01
        76    0.1840000000E+01    0.1952201193E+01   -0.2485331695E+01   -0.8970286385E+00    0.8689088294E+00    0.3681772206E-02
        77    0.7630000000E+00    0.8758712894E+00   -0.1896531783E+00   -0.1050197866E+01    0.7154842485E+00    0.1497706903E-02
        78    0.1221000000E+01    0.1123849362E+01   -0.6801754738E+00   -0.9225131169E+00    0.7708122032E+00    0.1253113281E+00
        79    0.8710000000E+00    0.9968133996E+00   -0.1676031241E+00   -0.6377218139E+00    0.5920381765E+00    0.1514254022E-02
        80    0.1048000000E+01    0.7849858933E+00   -0.3141636971E+00   -0.1505655595E+01    0.8678994282E+00    0.3234095680E-01
        81    0.1116000000E+01    0.1049799390E+01   -0.2165095253E+00   -0.5717441441E+00    0.5146696434E+00    0.1170303215E-03
        82    0.1185000000E+01    0.1099167042E+01   -0.6657853960E+00   -0.9905673633E+00    0.7708122032E+00    0.1164040838E+00
        83    0.1193000000E+01    0.1202391057E+01   -0.6707395866E+00   -0.7369229850E+00    0.5920381765E+00    0.3759749520E-02
        84    0.7470000000E+00    0.9729768325E+00   -0.3302522008E+00   -0.9009158767E+00    0.7647274409E+00    0.1093010364E-02
        85    0.9590000000E+00    0.9374889563E+00   -0.1647727415E+00   -0.6423540348E+00    0.9305732343E+00    0.5373557279E-01
        86    0.2181000000E+01    0.2066030647E+01   -0.2672407567E+01   -0.7949529658E+00    0.8689088294E+00    0.4894400577E-02
        87    0.9720000000E+00    0.1018989389E+01   -0.2414789808E+00   -0.5055054933E+00    0.8825437380E+00    0.8679915592E-02
        88    0.1224000000E+01    0.1161022205E+01   -0.7122682882E+00   -0.8393357048E+00    0.7708122032E+00    0.1264636083E+00
        89    0.1221000000E+01    0.1202750321E+01   -0.7314129845E+00   -0.8620204535E+00    0.5536520302E+00    0.1130707676E-01
        90    0.1145000000E+01    0.9952711999E+00   -0.4162883040E+00   -0.9700878788E+00    0.7529340548E+00    0.2451113263E-01
        91    0.1008000000E+01    0.9366302026E+00   -0.2736358679E+00   -0.9423710823E+00    0.7529340548E+00    0.3161220880E-01
        92    0.1082000000E+01    0.9928391561E+00   -0.2798093766E+00   -0.7428101472E+00    0.7529340548E+00    0.4293461591E-01
        93    0.1092000000E+01    0.1060790305E+01   -0.2504689568E+00   -0.5891753680E+00    0.5146696434E+00    0.1093589650E-03
