Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2417000000E+01    0.2649761653E+01   -0.2327616528E+00
    0.3360000000E+00    0.9120847704E+00   -0.5760847704E+00
    0.2366000000E+01    0.2196985146E+01    0.1690148538E+00
    0.9070000000E+00    0.8900337129E+00    0.1696628711E-01
    0.6380000000E+00    0.8450312197E+00   -0.2070312197E+00
    0.7730000000E+00    0.8006272847E+00   -0.2762728468E-01
    0.2270000000E+01    0.2224901987E+01    0.4509801264E-01
    0.1025000000E+01    0.9864407573E+00    0.3855924274E-01
    0.9700000000E+00    0.9636476413E+00    0.6352358705E-02
    0.1425000000E+01    0.1261621080E+01    0.1633789195E+00
    0.9100000000E+00    0.8888187439E+00    0.2118125605E-01
    0.9110000000E+00    0.8549531421E+00    0.5604685792E-01
    0.1156000000E+01    0.9494591594E+00    0.2065408406E+00
    0.8860000000E+00    0.8741888949E+00    0.1181110511E-01
    0.1160000000E+01    0.1170350278E+01   -0.1035027837E-01
    0.8470000000E+00    0.9977520720E+00   -0.1507520720E+00
    0.1082000000E+01    0.1213729327E+01   -0.1317293269E+00
    0.1139000000E+01    0.1269717608E+01   -0.1307176076E+00
    0.1067000000E+01    0.1057775503E+01    0.9224496548E-02
    0.8370000000E+00    0.8673957821E+00   -0.3039578212E-01
    0.7760000000E+00    0.1113724067E+01   -0.3377240675E+00
    0.7340000000E+00    0.1189577264E+01   -0.4555772641E+00
    0.1145000000E+01    0.1084837222E+01    0.6016277831E-01
    0.7750000000E+00    0.8195125681E+00   -0.4451256807E-01
    0.9470000000E+00    0.1012868807E+01   -0.6586880678E-01
    0.2565000000E+01    0.2415264069E+01    0.1497359313E+00
    0.2044000000E+01    0.1982459649E+01    0.6154035136E-01
    0.2723000000E+01    0.2384452189E+01    0.3385478110E+00
    0.1225000000E+01    0.1157443371E+01    0.6755662895E-01
    0.1818000000E+01    0.1759892873E+01    0.5810712688E-01
    0.3630000000E+00    0.9307725068E+00   -0.5677725068E+00
    0.1089000000E+01    0.9987319317E+00    0.9026806829E-01
    0.1016000000E+01    0.8938856207E+00    0.1221143793E+00
    0.7910000000E+00    0.1202328995E+01   -0.4113289945E+00
    0.2300000000E+01    0.2208098300E+01    0.9190170046E-01
    0.7380000000E+00    0.7492617923E+00   -0.1126179231E-01
    0.9010000000E+00    0.9418263857E+00   -0.4082638566E-01
    0.2567000000E+01    0.2725258390E+01   -0.1582583902E+00
    0.8670000000E+00    0.1011987421E+01   -0.1449874212E+00
    0.2284000000E+01    0.2378817189E+01   -0.9481718903E-01
    0.9470000000E+00    0.9359580873E+00    0.1104191273E-01
    0.2423000000E+01    0.2666665858E+01   -0.2436658576E+00
    0.7890000000E+00    0.9867787448E+00   -0.1977787448E+00
    0.1050000000E+01    0.9937401121E+00    0.5625988791E-01
    0.5840000000E+00    0.9307725068E+00   -0.3467725068E+00
Prediction RMSE and MaxAE:         0.2041626713        0.5760847704
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.2417000000E+01    0.2566536391E+01   -0.1495363906E+00
    0.3360000000E+00    0.6960137315E+00   -0.3600137315E+00
    0.2366000000E+01    0.2423800863E+01   -0.5780086349E-01
    0.9070000000E+00    0.1015664644E+01   -0.1086646442E+00
    0.6380000000E+00    0.7464084781E+00   -0.1084084781E+00
    0.7730000000E+00    0.9603333473E+00   -0.1873333473E+00
    0.2270000000E+01    0.2160305213E+01    0.1096947868E+00
    0.1025000000E+01    0.1000618674E+01    0.2438132605E-01
    0.9700000000E+00    0.9752125716E+00   -0.5212571637E-02
    0.1425000000E+01    0.1177950320E+01    0.2470496804E+00
    0.9100000000E+00    0.9333462338E+00   -0.2334623380E-01
    0.9110000000E+00    0.8888248812E+00    0.2217511877E-01
    0.1156000000E+01    0.1057577309E+01    0.9842269084E-01
    0.8860000000E+00    0.1011211388E+01   -0.1252113882E+00
    0.1160000000E+01    0.1192766022E+01   -0.3276602237E-01
    0.8470000000E+00    0.9897858380E+00   -0.1427858380E+00
    0.1082000000E+01    0.1124191477E+01   -0.4219147657E-01
    0.1139000000E+01    0.1122466460E+01    0.1653354036E-01
    0.1067000000E+01    0.9621637688E+00    0.1048362312E+00
    0.8370000000E+00    0.8765240377E+00   -0.3952403773E-01
    0.7760000000E+00    0.9598837092E+00   -0.1838837092E+00
    0.7340000000E+00    0.1002217793E+01   -0.2682177935E+00
    0.1145000000E+01    0.1050386155E+01    0.9461384534E-01
    0.7750000000E+00    0.8721508110E+00   -0.9715081103E-01
    0.9470000000E+00    0.1024438228E+01   -0.7743822842E-01
    0.2565000000E+01    0.2527049408E+01    0.3795059197E-01
    0.2044000000E+01    0.2049977179E+01   -0.5977178541E-02
    0.2723000000E+01    0.2499878826E+01    0.2231211741E+00
    0.1225000000E+01    0.1118841932E+01    0.1061580683E+00
    0.1818000000E+01    0.1961161627E+01   -0.1431616267E+00
    0.3630000000E+00    0.6765614123E+00   -0.3135614123E+00
    0.1089000000E+01    0.9989297242E+00    0.9007027581E-01
    0.1016000000E+01    0.9570162422E+00    0.5898375779E-01
    0.7910000000E+00    0.1161268924E+01   -0.3702689237E+00
    0.2300000000E+01    0.2421904995E+01   -0.1219049951E+00
    0.7380000000E+00    0.8273264917E+00   -0.8932649169E-01
    0.9010000000E+00    0.9573553467E+00   -0.5635534675E-01
    0.2567000000E+01    0.2581710263E+01   -0.1471026343E-01
    0.8670000000E+00    0.9642913666E+00   -0.9729136661E-01
    0.2284000000E+01    0.2418577726E+01   -0.1345777263E+00
    0.9470000000E+00    0.9998859600E+00   -0.5288595995E-01
    0.2423000000E+01    0.2565693891E+01   -0.1426938914E+00
    0.7890000000E+00    0.9842581764E+00   -0.1952581764E+00
    0.1050000000E+01    0.1044486261E+01    0.5513738555E-02
    0.5840000000E+00    0.6765614123E+00   -0.9256141226E-01
Prediction RMSE and MaxAE:         0.1440672024        0.3702689237
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.2417000000E+01    0.2623578047E+01   -0.2065780472E+00
    0.3360000000E+00    0.6603535776E+00   -0.3243535776E+00
    0.2366000000E+01    0.2431510618E+01   -0.6551061849E-01
