     Index       y_measurement           y_fitting        descriptor_1
         1    0.5100000000E+01    0.5275797722E+01   -0.9083774270E+01
         2    0.2308000000E+01    0.2264306625E+01   -0.4413445177E+01
         3    0.2009000000E+01    0.1711431283E+01   -0.3556026142E+01
         4    0.2043000000E+01    0.1421879366E+01   -0.3106978578E+01
         5    0.2182000000E+01    0.2156769992E+01   -0.4246673486E+01
         6    0.1827000000E+01    0.2158852034E+01   -0.4249902391E+01
         7    0.3277000000E+01    0.2627131700E+01   -0.4976127400E+01
         8    0.1946000000E+01    0.1604139740E+01   -0.3389634544E+01
         9    0.4868000000E+01    0.4946389178E+01   -0.8572915609E+01
        10    0.4069000000E+01    0.3852652856E+01   -0.6876709843E+01
        11    0.2358000000E+01    0.1548859801E+01   -0.3303904419E+01
        12    0.3282000000E+01    0.2502316110E+01   -0.4782558877E+01
        13    0.4991000000E+01    0.4885130309E+01   -0.8477913145E+01
        14    0.1969000000E+01    0.2338872494E+01   -0.4529084618E+01
        15    0.1879000000E+01    0.1880924199E+01   -0.3818881874E+01
        16    0.5889000000E+01    0.5391727262E+01   -0.9263561985E+01
        17    0.1375000000E+01    0.1140829966E+01   -0.2671117024E+01
        18    0.3378000000E+01    0.3888126417E+01   -0.6931723522E+01
        19    0.2189000000E+01    0.2154034416E+01   -0.4242431055E+01
        20    0.1049000000E+01    0.1177326852E+01   -0.2727717711E+01
        21    0.2367000000E+01    0.1755386693E+01   -0.3624193778E+01
        22    0.1460000000E+01    0.1898257996E+01   -0.3845763752E+01
        23    0.4967000000E+01    0.5190299687E+01   -0.8951180831E+01
        24    0.2056000000E+01    0.1822560605E+01   -0.3728369505E+01
        25    0.4589000000E+01    0.4628697907E+01   -0.8080228520E+01
        26    0.5340000000E+01    0.5316373061E+01   -0.9146699970E+01
        27    0.2210000000E+01    0.1612656563E+01   -0.3402842740E+01
        28    0.2286000000E+01    0.2340912040E+01   -0.4532247620E+01
        29    0.1786000000E+01    0.2030933465E+01   -0.4051521658E+01
        30    0.4936000000E+01    0.5117488010E+01   -0.8838261854E+01
        31    0.1656000000E+01    0.1755160407E+01   -0.3623842846E+01
        32    0.1157000000E+01    0.1593128903E+01   -0.3372558540E+01
        33    0.1436000000E+01    0.2113436968E+01   -0.4179471068E+01
        34    0.5750000000E+00    0.1100121902E+01   -0.2607985489E+01
        35    0.4889000000E+01    0.4973059452E+01   -0.8614276833E+01
        36    0.1629000000E+01    0.1754675904E+01   -0.3623091461E+01
        37    0.2022000000E+01    0.1657037607E+01   -0.3471670465E+01
        38    0.1673000000E+01    0.2173453568E+01   -0.4272546977E+01
        39    0.1223000000E+01    0.1796107693E+01   -0.3687345375E+01
        40    0.1890000000E+01    0.2114964403E+01   -0.4181839869E+01
        41    0.1582000000E+01    0.2178654606E+01   -0.4280612935E+01
        42    0.3462000000E+01    0.3041516590E+01   -0.5618770444E+01
        43    0.4290000000E+01    0.3927334037E+01   -0.6992528114E+01
        44    0.1345000000E+01    0.1590909407E+01   -0.3369116466E+01
        45    0.2375000000E+01    0.2457445724E+01   -0.4712972264E+01
        46    0.2041000000E+01    0.1536321166E+01   -0.3284459052E+01
        47    0.2028000000E+01    0.2123943073E+01   -0.4195764314E+01
        48    0.1859000000E+01    0.1708365811E+01   -0.3551272096E+01
        49    0.1960000000E+01    0.1591877850E+01   -0.3370618362E+01
        50    0.1413000000E+01    0.1754347901E+01   -0.3622582781E+01
        51    0.1521000000E+01    0.1429189926E+01   -0.3118316058E+01
        52    0.1776000000E+01    0.1833603622E+01   -0.3745495414E+01
        53    0.2078000000E+01    0.1693038447E+01   -0.3527501868E+01
        54    0.4720000000E+01    0.5050798458E+01   -0.8734837290E+01
        55    0.1393000000E+01    0.1951713057E+01   -0.3928663790E+01
        56    0.1370000000E+01    0.1378059720E+01   -0.3039021488E+01
        57    0.8810000000E+00    0.1500816331E+01   -0.3229396872E+01
        58    0.1497000000E+01    0.1501446406E+01   -0.3230374015E+01
        59    0.2129000000E+01    0.2264215274E+01   -0.4413303507E+01
        60    0.1995000000E+01    0.2330089291E+01   -0.4515463310E+01
        61    0.4181000000E+01    0.3802243059E+01   -0.6798532510E+01
        62    0.1786000000E+01    0.1966647413E+01   -0.3951824528E+01
        63    0.1222000000E+01    0.1556624914E+01   -0.3315946837E+01
        64    0.1536000000E+01    0.2015511257E+01   -0.4027604340E+01
        65    0.5676000000E+01    0.5283043319E+01   -0.9095011003E+01
        66    0.2386000000E+01    0.2324560566E+01   -0.4506889164E+01
        67    0.2282000000E+01    0.2043243561E+01   -0.4070612598E+01
        68    0.1772000000E+01    0.2085644999E+01   -0.4136370279E+01
        69    0.2244000000E+01    0.1839786318E+01   -0.3755083763E+01
        70    0.1915000000E+01    0.2261287540E+01   -0.4408763071E+01
        71    0.2279000000E+01    0.2428168383E+01   -0.4667567907E+01
        72    0.1174000000E+01    0.1593128903E+01   -0.3372558540E+01
        73    0.1224000000E+01    0.1558157651E+01   -0.3318323860E+01
        74    0.2324000000E+01    0.1610881321E+01   -0.3400089631E+01
        75    0.4387000000E+01    0.3985211952E+01   -0.7082287274E+01
        76    0.4678000000E+01    0.4484910271E+01   -0.7857237464E+01
        77    0.2295000000E+01    0.2087089723E+01   -0.4138610810E+01
        78    0.4627000000E+01    0.4671991689E+01   -0.8147370080E+01
        79    0.9270000000E+00    0.1584214168E+01   -0.3358733248E+01
        80    0.2239000000E+01    0.1690767200E+01   -0.3523979536E+01
        81    0.1969000000E+01    0.1548747859E+01   -0.3303730815E+01
        82    0.1772000000E+01    0.1998512868E+01   -0.4001242625E+01
        83    0.4872000000E+01    0.4945075546E+01   -0.8570878382E+01
        84    0.1869000000E+01    0.1697636657E+01   -0.3534632937E+01
        85    0.1570000000E+01    0.1998512868E+01   -0.4001242625E+01
        86    0.2417000000E+01    0.1914657332E+01   -0.3871196434E+01
        87    0.2190000000E+01    0.2118471919E+01   -0.4187279452E+01
        88    0.2038000000E+01    0.1712964020E+01   -0.3558403165E+01
        89    0.4712000000E+01    0.4785221581E+01   -0.8322971083E+01
        90    0.2419000000E+01    0.2205018135E+01   -0.4321498448E+01
        91    0.2139000000E+01    0.1869887935E+01   -0.3801766437E+01
        92    0.1987000000E+01    0.1766950316E+01   -0.3642127061E+01
        93    0.1608000000E+01    0.1943395011E+01   -0.3915763864E+01
        94    0.1714000000E+01    0.1742086010E+01   -0.3603566598E+01
        95    0.2256000000E+01    0.1839786318E+01   -0.3755083763E+01
        96    0.2021000000E+01    0.2171815664E+01   -0.4270006857E+01
        97    0.4112000000E+01    0.3748099203E+01   -0.6714564264E+01
        98    0.2094000000E+01    0.1929928306E+01   -0.3894879211E+01
        99    0.2078000000E+01    0.1892583019E+01   -0.3836962792E+01
       100    0.3054000000E+01    0.3699556435E+01   -0.6639282387E+01
       101    0.1732000000E+01    0.2489650799E+01   -0.4762917056E+01
       102    0.2103000000E+01    0.1967862200E+01   -0.3953708463E+01
       103    0.2719000000E+01    0.3041516590E+01   -0.5618770444E+01
       104    0.1339000000E+01    0.1590909407E+01   -0.3369116466E+01
       105    0.2198000000E+01    0.1726272035E+01   -0.3579041716E+01
       106    0.5139000000E+01    0.4625367616E+01   -0.8075063784E+01
       107    0.1458000000E+01    0.1645024051E+01   -0.3453039409E+01
       108    0.3321000000E+01    0.3847051767E+01   -0.6868023473E+01
       109    0.1588000000E+01    0.1888683478E+01   -0.3830915243E+01
       110    0.2192000000E+01    0.1922606499E+01   -0.3883524289E+01
       111    0.4837000000E+01    0.4868478855E+01   -0.8452089468E+01
       112    0.1942000000E+01    0.1931657639E+01   -0.3897561124E+01
