     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.5100000000E+01    0.5199992139E+01   -0.8836465783E+01    0.1084276114E+00
         2    0.2308000000E+01    0.2172061061E+01   -0.4448809823E+01    0.9539733557E-01
         3    0.2009000000E+01    0.2152703546E+01   -0.3710273223E+01    0.1249640439E+00
         4    0.2043000000E+01    0.1949968016E+01   -0.3275223398E+01    0.1299872341E+00
         5    0.2182000000E+01    0.2243520332E+01   -0.4282878546E+01    0.1069507913E+00
         6    0.1827000000E+01    0.1958004139E+01   -0.4299255630E+01    0.8777287553E-01
         7    0.3277000000E+01    0.3000141526E+01   -0.4976432611E+01    0.1270179513E+00
         8    0.1946000000E+01    0.1791966792E+01   -0.3563563781E+01    0.1077196005E+00
         9    0.4868000000E+01    0.4850835347E+01   -0.8439177361E+01    0.1023904258E+00
        10    0.4069000000E+01    0.4155968146E+01   -0.6825244413E+01    0.1247326567E+00
        11    0.2358000000E+01    0.1709278784E+01   -0.3446363834E+01    0.1072544266E+00
        12    0.3282000000E+01    0.2533647004E+01   -0.4795661853E+01    0.1043444372E+00
        13    0.4991000000E+01    0.5021531164E+01   -0.8387946562E+01    0.1155853038E+00
        14    0.1969000000E+01    0.1774923599E+01   -0.4578214813E+01    0.6427221172E-01
        15    0.1879000000E+01    0.2062292944E+01   -0.3899464627E+01    0.1112123140E+00
        16    0.5889000000E+01    0.5816218167E+01   -0.9008551243E+01    0.1411625204E+00
        17    0.1375000000E+01    0.1360948342E+01   -0.2913675494E+01    0.1069212763E+00
        18    0.3378000000E+01    0.3737751223E+01   -0.6878396148E+01    0.9542429932E-01
        19    0.2189000000E+01    0.2241036711E+01   -0.4279023519E+01    0.1069507913E+00
        20    0.1049000000E+01    0.1112492440E+01   -0.2959777041E+01    0.8890350021E-01
        21    0.2367000000E+01    0.1766479097E+01   -0.3725845470E+01    0.9929628332E-01
        22    0.1460000000E+01    0.1668760475E+01   -0.3920964413E+01    0.8482380441E-01
        23    0.4967000000E+01    0.5016234102E+01   -0.8709589347E+01    0.1018193903E+00
        24    0.2056000000E+01    0.1766445999E+01   -0.3849067732E+01    0.9415182919E-01
        25    0.4589000000E+01    0.4103201942E+01   -0.8007296195E+01    0.7198532392E-01
        26    0.5340000000E+01    0.5360706668E+01   -0.8896689339E+01    0.1163247340E+00
        27    0.2210000000E+01    0.1851444728E+01   -0.3515168569E+01    0.1135919448E+00
        28    0.2286000000E+01    0.2360397702E+01   -0.4585861790E+01    0.1018774931E+00
        29    0.1786000000E+01    0.1884194470E+01   -0.4106073871E+01    0.9105367311E-01
        30    0.4936000000E+01    0.5358225642E+01   -0.8693600078E+01    0.1246393432E+00
        31    0.1656000000E+01    0.1663539305E+01   -0.3766954436E+01    0.9091274307E-01
        32    0.1157000000E+01    0.1421520998E+01   -0.3487422142E+01    0.8690131385E-01
        33    0.1436000000E+01    0.1469744530E+01   -0.4258974670E+01    0.5782659718E-01
        34    0.5750000000E+00    0.8604249284E+00   -0.2862797698E+01    0.7662283036E-01
        35    0.4889000000E+01    0.5044753775E+01   -0.8435504931E+01    0.1151048558E+00
        36    0.1629000000E+01    0.1779083052E+01   -0.3717987292E+01    0.1004406488E+00
        37    0.2022000000E+01    0.2172888677E+01   -0.3578361854E+01    0.1317764707E+00
        38    0.1673000000E+01    0.1730831301E+01   -0.4316524225E+01    0.7233697798E-01
        39    0.1223000000E+01    0.1397065413E+01   -0.3812110215E+01    0.7176731057E-01
        40    0.1890000000E+01    0.1873226092E+01   -0.4265459497E+01    0.8369171113E-01
        41    0.1582000000E+01    0.1892949276E+01   -0.4313735970E+01    0.8295461785E-01
        42    0.3462000000E+01    0.2834087573E+01   -0.5569662451E+01    0.9150505403E-01
        43    0.4290000000E+01    0.4459150952E+01   -0.6937156509E+01    0.1397011742E+00
        44    0.1345000000E+01    0.1307834663E+01   -0.3502192554E+01    0.7892082073E-01
