     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.5100000000E+01    0.5278463044E+01   -0.1979949391E+01    0.1810780076E+00   -0.9680675374E+00
         2    0.2308000000E+01    0.2176371848E+01   -0.7881855765E+00   -0.3108931062E-01   -0.8222890601E+00
         3    0.2009000000E+01    0.1957403172E+01   -0.6784823421E+00   -0.3899609599E-01   -0.5048045977E+00
         4    0.2043000000E+01    0.2214342939E+01   -0.5756489215E+00   -0.2840272786E+00   -0.2148889071E+00
         5    0.2182000000E+01    0.2123370945E+01   -0.7429674163E+00   -0.2560461842E-01   -0.5063838127E+00
         6    0.1827000000E+01    0.2089896362E+01   -0.7589789001E+00   -0.3317601248E-01   -0.8335881384E+00
         7    0.3277000000E+01    0.3048630702E+01   -0.9737195888E+00   -0.5079284929E-01    0.1296768482E+00
         8    0.1946000000E+01    0.1863661371E+01   -0.6467351737E+00   -0.4359565528E-01   -0.5317320171E+00
         9    0.4868000000E+01    0.5017141701E+01   -0.1667108739E+01   -0.3359796204E-01   -0.1050017908E+00
        10    0.4069000000E+01    0.4119563005E+01   -0.1427224969E+01   -0.5740961426E-01   -0.8800514886E+00
        11    0.2358000000E+01    0.1939458960E+01   -0.6243951994E+00   -0.3919007409E-01   -0.1713014797E-01
        12    0.3282000000E+01    0.2926762026E+01   -0.9358424511E+00   -0.5737602602E-01    0.5611962532E-01
        13    0.4991000000E+01    0.4925831338E+01   -0.1563685119E+01   -0.2954300830E-01    0.6628946194E+00
        14    0.1969000000E+01    0.1637573982E+01   -0.7606354515E+00    0.1911081218E+00   -0.8978792601E+00
        15    0.1879000000E+01    0.2048176485E+01   -0.6939106557E+00   -0.3161088686E-01   -0.3034832230E+00
        16    0.5889000000E+01    0.5694745956E+01   -0.1938984621E+01   -0.3638236962E-01   -0.5813108150E+00
        17    0.1375000000E+01    0.1731315667E+01   -0.5258451918E+00   -0.5739133309E-01    0.1552732290E+00
        18    0.3378000000E+01    0.3441745036E+01   -0.1438642768E+01    0.2993604969E+00   -0.9296750311E+00
        19    0.2189000000E+01    0.2101420181E+01   -0.7422251911E+00   -0.2601770060E-01   -0.5763252061E+00
        20    0.1049000000E+01    0.1069351716E+01   -0.5369877957E+00    0.2924902733E+00    0.1165850311E+00
        21    0.2367000000E+01    0.1943567420E+01   -0.6585348183E+00   -0.3465299080E-01   -0.3201440689E+00
        22    0.1460000000E+01    0.1885305447E+01   -0.6728271358E+00   -0.3086353778E-01   -0.6386538159E+00
        23    0.4967000000E+01    0.5145159570E+01   -0.1948847503E+01    0.2000085879E+00   -0.9796616979E+00
        24    0.2056000000E+01    0.1949304268E+01   -0.6940417364E+00   -0.7097110415E-01   -0.9034223476E+00
        25    0.4589000000E+01    0.4176721043E+01   -0.1492879965E+01    0.1879310089E+00    0.2796734324E+00
        26    0.5340000000E+01    0.5352367278E+01   -0.2006811063E+01    0.1798322621E+00   -0.9979024051E+00
        27    0.2210000000E+01    0.2110302083E+01   -0.6723992082E+00   -0.6505684547E-01   -0.9577276111E-01
        28    0.2286000000E+01    0.2153335783E+01   -0.7929245168E+00   -0.3243572914E-01   -0.9578806827E+00
        29    0.1786000000E+01    0.1876215284E+01   -0.6778293973E+00   -0.2901996111E-01   -0.7082083469E+00
        30    0.4936000000E+01    0.5211337777E+01   -0.1718708575E+01   -0.3008811691E-01    0.5481126918E-01
        31    0.1656000000E+01    0.1782207057E+01   -0.6614805378E+00   -0.4384212860E-01   -0.9606776074E+00
        32    0.1157000000E+01    0.1269635246E+01   -0.6664150728E+00    0.3494332327E+00   -0.1387632333E+00
        33    0.1436000000E+01    0.1380056953E+01   -0.6862843839E+00    0.2205377091E+00   -0.8226943006E+00
        34    0.5750000000E+00    0.8975257410E+00   -0.4913085218E+00    0.3110396925E+00    0.1195394927E+00
        35    0.4889000000E+01    0.5327995873E+01   -0.1770782902E+01   -0.3408659620E-01   -0.1041820341E+00
        36    0.1629000000E+01    0.1554730186E+01   -0.7479876087E+00    0.3163244686E+00   -0.2179756507E+00
        37    0.2022000000E+01    0.2108628841E+01   -0.6859995158E+00   -0.6003819098E-01   -0.2063839563E+00
        38    0.1673000000E+01    0.1729547629E+01   -0.7589823267E+00    0.1633527469E+00   -0.7526243674E+00
        39    0.1223000000E+01    0.1018337863E+01   -0.6774332663E+00    0.3786617669E+00   -0.9119408684E+00
        40    0.1890000000E+01    0.1973669865E+01   -0.7316200781E+00   -0.3824726292E-01   -0.9848427174E+00
