     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4
         1    0.5100000000E+01    0.5256418595E+01   -0.1979949391E+01    0.1810780076E+00   -0.9680675374E+00   -0.1591843803E+02
         2    0.2308000000E+01    0.2265659142E+01   -0.7881855765E+00   -0.3108931062E-01   -0.8222890601E+00   -0.1064373216E+03
         3    0.2009000000E+01    0.1988568658E+01   -0.6784823421E+00   -0.3899609599E-01   -0.5048045977E+00   -0.2849210952E+02
         4    0.2043000000E+01    0.2210432433E+01   -0.5756489215E+00   -0.2840272786E+00   -0.2148889071E+00    0.8498651149E+02
         5    0.2182000000E+01    0.2198464666E+01   -0.7429674163E+00   -0.2560461842E-01   -0.5063838127E+00   -0.8820178404E+02
         6    0.1827000000E+01    0.1890928824E+01   -0.7589789001E+00   -0.3317601248E-01   -0.8335881384E+00    0.2639022340E+03
         7    0.3277000000E+01    0.3074839482E+01   -0.9737195888E+00   -0.5079284929E-01    0.1296768482E+00   -0.1361561809E+02
         8    0.1946000000E+01    0.1920109832E+01   -0.6467351737E+00   -0.4359565528E-01   -0.5317320171E+00   -0.6001270454E+02
         9    0.4868000000E+01    0.4948019269E+01   -0.1667108739E+01   -0.3359796204E-01   -0.1050017908E+00    0.1066528011E+03
        10    0.4069000000E+01    0.4138751921E+01   -0.1427224969E+01   -0.5740961426E-01   -0.8800514886E+00   -0.5897663657E+01
        11    0.2358000000E+01    0.2048662218E+01   -0.6243951994E+00   -0.3919007409E-01   -0.1713014797E-01   -0.1261606736E+03
        12    0.3282000000E+01    0.2886459535E+01   -0.9358424511E+00   -0.5737602602E-01    0.5611962532E-01    0.7293573485E+02
        13    0.4991000000E+01    0.4964722399E+01   -0.1563685119E+01   -0.2954300830E-01    0.6628946194E+00   -0.2935982344E+02
        14    0.1969000000E+01    0.1659795465E+01   -0.7606354515E+00    0.1911081218E+00   -0.8978792601E+00   -0.8206224642E+02
        15    0.1879000000E+01    0.2111749612E+01   -0.6939106557E+00   -0.3161088686E-01   -0.3034832230E+00   -0.7089624873E+02
        16    0.5889000000E+01    0.5716618826E+01   -0.1938984621E+01   -0.3638236962E-01   -0.5813108150E+00   -0.1051780362E+02
        17    0.1375000000E+01    0.1545526327E+01   -0.5258451918E+00   -0.5739133309E-01    0.1552732290E+00    0.2579017527E+03
        18    0.3378000000E+01    0.3383227626E+01   -0.1438642768E+01    0.2993604969E+00   -0.9296750311E+00   -0.4515329043E+01
        19    0.2189000000E+01    0.2176291406E+01   -0.7422251911E+00   -0.2601770060E-01   -0.5763252061E+00   -0.8820178404E+02
        20    0.1049000000E+01    0.1071424267E+01   -0.5369877957E+00    0.2924902733E+00    0.1165850311E+00   -0.7963694051E+02
