Predictions (y,pred,y-pred) by the model of dimension:     1
    0.5100000000E+01    0.5275797723E+01   -0.1757977226E+00
    0.1374000000E+01    0.1269972791E+01    0.1040272094E+00
    0.5653000000E+01    0.5249713576E+01    0.4032864238E+00
    0.4219000000E+01    0.3953472450E+01    0.2655275500E+00
    0.5642000000E+01    0.5238120622E+01    0.4038793778E+00
    0.2038000000E+01    0.1991267603E+01    0.4673239674E-01
    0.2251000000E+01    0.1669464299E+01    0.5815357009E+00
    0.3672000000E+01    0.3899328594E+01   -0.2273285938E+00
    0.2240000000E+01    0.1580702211E+01    0.6592977894E+00
    0.5775000000E+01    0.5090625239E+01    0.6843747612E+00
    0.4725000000E+01    0.4716950617E+01    0.8049382975E-02
    0.5136000000E+01    0.5050798458E+01    0.8520154159E-01
    0.2397000000E+01    0.2192485789E+01    0.2045142114E+00
    0.1496000000E+01    0.1501446406E+01   -0.5446406310E-02
    0.2149000000E+01    0.2199694767E+01   -0.5069476650E-01
    0.3806000000E+01    0.4381891234E+01   -0.5758912338E+00
    0.4629000000E+01    0.3476823933E+01    0.1152176067E+01
    0.1895000000E+01    0.1677711084E+01    0.2172889159E+00
    0.2188000000E+01    0.2027959685E+01    0.1600403147E+00
    0.1776000000E+01    0.1751904644E+01    0.2409535626E-01
    0.1896000000E+01    0.1649048533E+01    0.2469514675E+00
    0.2275000000E+01    0.1237687085E+01    0.1037312915E+01
    0.1639000000E+01    0.1326121845E+01    0.3128781554E+00
    0.4920000000E+01    0.4823519927E+01    0.9648007298E-01
    0.1865000000E+01    0.1860757042E+01    0.4242958020E-02
    0.1461000000E+01    0.1809290939E+01   -0.3482909394E+00
    0.4311000000E+01    0.3949738391E+01    0.3612616090E+00
    0.4190000000E+01    0.3815312265E+01    0.3746877347E+00
    0.1106000000E+01    0.1876373383E+01   -0.7703733827E+00
Prediction RMSE and MaxAE:         0.4451772687        1.1521760667
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.5100000000E+01    0.5199992138E+01   -0.9999213844E-01
    0.1374000000E+01    0.1486700831E+01   -0.1127008313E+00
    0.5653000000E+01    0.5689168305E+01   -0.3616830487E-01
    0.4219000000E+01    0.4484393767E+01   -0.2653937674E+00
    0.5642000000E+01    0.5503211411E+01    0.1387885886E+00
    0.2038000000E+01    0.1866017864E+01    0.1719821359E+00
    0.2251000000E+01    0.2114020687E+01    0.1369793134E+00
    0.3672000000E+01    0.3848528601E+01   -0.1765286007E+00
    0.2240000000E+01    0.1822205951E+01    0.4177940492E+00
