     Index       y_measurement           y_fitting        descriptor_1
         1    0.3320000000E+00    0.4995136690E+00   -0.1476290155E+02
         2   -0.7070000000E+00   -0.1920092032E+00   -0.5554363889E+01
         3    0.6010000000E+00    0.5549783736E+00   -0.1550148713E+02
         4    0.5850000000E+00    0.6066836235E+00   -0.1619001062E+02
         5    0.4410000000E+00    0.2368992257E+00   -0.1126584442E+02
         6    0.7700000000E+00    0.5609034646E-02   -0.8185910956E+01
         7    0.5240000000E+00    0.5429655617E+00   -0.1534152072E+02
         8    0.4910000000E+00    0.7050083200E+00   -0.1749933343E+02
         9    0.4420000000E+00    0.4264455779E+00   -0.1378990370E+02
        10   -0.2470000000E+00   -0.1580284611E-01   -0.7900783568E+01
        11    0.7740000000E+00    0.6624341264E+00   -0.1693240198E+02
        12   -0.4670000000E+00   -0.4139344696E-03   -0.8105707191E+01
        13    0.6460000000E+00    0.8443195578E+00   -0.1935444601E+02
        14   -0.3840000000E+00   -0.2089263273E+00   -0.5329090105E+01
        15    0.3510000000E+00    0.6591965360E+00   -0.1688928920E+02
        16    0.3540000000E+00    0.4421828905E+00   -0.1399946674E+02
        17    0.4600000000E+00    0.4700077744E+00   -0.1436999171E+02
        18    0.5800000000E-01    0.1566848982E+00   -0.1019768502E+02
        19    0.1900000000E-01   -0.4314490222E-01   -0.7536688086E+01
        20   -0.1510000000E+00   -0.1692028859E+00   -0.5858060036E+01
        21    0.4340000000E+00    0.5953872379E+00   -0.1603958437E+02
        22    0.1444000000E+01    0.1370954334E+01   -0.2636728155E+02
        23    0.3240000000E+00    0.1636417265E+00   -0.1029032435E+02
        24    0.4010000000E+00    0.4098833053E+00   -0.1356935523E+02
        25    0.4230000000E+00    0.3480816750E+00   -0.1274638514E+02
        26    0.2180000000E+00    0.1934360709E+00   -0.1068707528E+02
        27    0.7170000000E+00    0.6671593550E+00   -0.1699532462E+02
        28   -0.1400000000E-01   -0.6903563090E-01   -0.7191918940E+01
        29    0.3910000000E+00    0.6591965360E+00   -0.1688928920E+02
        30    0.2750000000E+00    0.1403715659E+00   -0.9980451519E+01
        31    0.7260000000E+00    0.1062781155E+01   -0.2226354986E+02
        32    0.3000000000E+00    0.1697195092E+00   -0.1037125803E+02
