     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.3320000000E+00    0.4315242944E+00   -0.3810561576E+01    0.4891510559E+01
         2   -0.7070000000E+00   -0.4063849350E+00   -0.1411357587E+01    0.4735577203E+01
         3    0.6010000000E+00    0.5372031485E+00   -0.2873825921E+01    0.5120154486E+01
         4    0.5850000000E+00    0.7142126263E+00   -0.3026012484E+01    0.5212896969E+01
         5    0.4410000000E+00    0.4404592114E+00   -0.2095340041E+01    0.5186710353E+01
         6    0.7700000000E+00    0.1313089661E+00   -0.2080030722E+01    0.4982496417E+01
         7    0.5240000000E+00    0.5512929162E+00   -0.3122898325E+01    0.5087580409E+01
         8    0.4910000000E+00    0.5428330668E+00   -0.3458436214E+01    0.5025342609E+01
         9    0.4420000000E+00    0.4466253973E+00   -0.3581269430E+01    0.4940275489E+01
        10   -0.2470000000E+00   -0.1134504391E+00   -0.1653301321E+01    0.4890728755E+01
        11    0.7740000000E+00    0.6720993908E+00   -0.3662156863E+01    0.5077459202E+01
        12   -0.4670000000E+00   -0.1642411377E+00   -0.2059651036E+01    0.4788234800E+01
        13    0.6460000000E+00    0.6676647840E+00   -0.3623747368E+01    0.5080969488E+01
        14   -0.3840000000E+00   -0.4713704927E+00   -0.1354115773E+01    0.4701759547E+01
        15    0.3510000000E+00    0.5130241919E+00   -0.3337871674E+01    0.5025732752E+01
        16    0.3540000000E+00    0.5667120187E+00   -0.3112592593E+01    0.5099632254E+01
        17    0.4600000000E+00    0.4558075280E+00   -0.2762627737E+01    0.5084458083E+01
        18    0.5800000000E-01    0.5466203806E-01   -0.2133946078E+01    0.4922134809E+01
        19    0.1900000000E-01   -0.1447851390E+00   -0.1675680934E+01    0.4865994804E+01
        20   -0.1510000000E+00   -0.4555732416E+00   -0.1488526434E+01    0.4689662058E+01
        21    0.4340000000E+00    0.5726425571E+00   -0.2921311475E+01    0.5135853377E+01
        22    0.1444000000E+01    0.1330972325E+01   -0.3920940030E+01    0.5474553187E+01
        23    0.3240000000E+00    0.2077378345E+00   -0.2543544754E+01    0.4955462484E+01
        24    0.4010000000E+00    0.4138278351E+00   -0.3057641602E+01    0.5006631556E+01
        25    0.4230000000E+00    0.3423382987E+00   -0.3150629655E+01    0.4943131314E+01
        26    0.2180000000E+00    0.2373829930E+00   -0.2026233553E+01    0.5062522341E+01
        27    0.7170000000E+00    0.7558338141E+00   -0.4000438201E+01    0.5076428983E+01
        28   -0.1400000000E-01   -0.1164681974E+00   -0.1619231844E+01    0.4894454973E+01
        29    0.3910000000E+00    0.5130241919E+00   -0.3337871674E+01    0.5025732752E+01
        30    0.2750000000E+00    0.1999858320E+00   -0.1926119210E+01    0.5054388220E+01
        31    0.7260000000E+00    0.7995209725E+00   -0.4168421053E+01    0.5077326497E+01
        32    0.3000000000E+00    0.2368122514E+00   -0.1966355662E+01    0.5072237258E+01
        33    0.1339000000E+01    0.9745178968E+00   -0.4477804233E+01    0.5142216035E+01
        34    0.6370000000E+00    0.5154732228E+00   -0.2791395374E+01    0.5119518556E+01
        35    0.4410000000E+00    0.1244946442E+00   -0.1901095571E+01    0.5008110510E+01
        36    0.7910000000E+00    0.7148354361E+00   -0.4161832960E+01    0.5021789916E+01
        37   -0.2080000000E+00   -0.2473416857E-01   -0.2112792434E+01    0.4872592407E+01
        38    0.1580000000E+00    0.3069268037E+00   -0.2001800615E+01    0.5113161196E+01
        39    0.1000000000E+00   -0.1543292474E+00   -0.1754785714E+01    0.4846271841E+01
