     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.3320000000E+00    0.3499122739E+00   -0.3810561576E+01    0.7510069501E-02    0.7612778305E+00
         2   -0.7070000000E+00   -0.5633269903E+00   -0.1411357587E+01    0.8777381040E-02    0.9677779620E+00
         3    0.6010000000E+00    0.6532735749E+00   -0.2873825921E+01    0.5975099754E-02    0.5057389475E+00
         4    0.5850000000E+00    0.6429139760E+00   -0.3026012484E+01    0.5445874285E-02    0.9948377265E+00
         5    0.4410000000E+00    0.4576271956E+00   -0.2095340041E+01    0.5590366935E-02    0.8664293010E+00
         6    0.7700000000E+00    0.2651488326E+00   -0.2080030722E+01    0.6856923436E-02    0.4773276450E+00
         7    0.5240000000E+00    0.5221366785E+00   -0.3122898325E+01    0.6172937816E-02    0.8587212699E+00
         8    0.4910000000E+00    0.5904855979E+00   -0.3458436214E+01    0.6569335393E-02    0.5826900426E+00
         9    0.4420000000E+00    0.3156979979E+00   -0.3581269430E+01    0.7152627632E-02    0.9776907150E+00
        10   -0.2470000000E+00   -0.1893054814E+00   -0.1653301321E+01    0.7515943195E-02    0.9923920243E+00
        11    0.7740000000E+00    0.7249053976E+00   -0.3662156863E+01    0.6235732644E-02    0.5724047571E+00
        12   -0.4670000000E+00   -0.2489688417E+00   -0.2059651036E+01    0.8327143490E-02    0.8065395098E+00
        13    0.6460000000E+00    0.6356263174E+00   -0.3623747368E+01    0.6213881812E-02    0.8065395098E+00
        14   -0.3840000000E+00   -0.3605888195E+00   -0.1354115773E+01    0.9079287603E-02    0.1756943247E+00
        15    0.3510000000E+00    0.4827381439E+00   -0.3337871674E+01    0.6566772917E-02    0.8065395098E+00
        16    0.3540000000E+00    0.5118449444E+00   -0.3112592593E+01    0.6098989032E-02    0.9330710445E+00
        17    0.4600000000E+00    0.6278215910E+00   -0.2762627737E+01    0.6192241864E-02    0.3575199957E+00
        18    0.5800000000E-01   -0.1824656791E-01   -0.2133946078E+01    0.7283565218E-02    0.9677779620E+00
        19    0.1900000000E-01   -0.2250842114E+00   -0.1675680934E+01    0.7704160247E-02    0.9677779620E+00
        20   -0.1510000000E+00   -0.3615661879E+00   -0.1488526434E+01    0.9189791245E-02    0.1756943247E+00
        21    0.4340000000E+00    0.5065452400E+00   -0.2921311475E+01    0.5882029776E-02    0.9934298750E+00
        22    0.1444000000E+01    0.1442530588E+01   -0.3920940030E+01    0.4192101215E-02    0.2366378030E+00
        23    0.3240000000E+00    0.2078199372E+00   -0.2543544754E+01    0.7044821408E-02    0.7595881948E+00
        24    0.4010000000E+00    0.3681897765E+00   -0.3057641602E+01    0.6693411755E-02    0.8670398292E+00
        25    0.4230000000E+00    0.2741709317E+00   -0.3150629655E+01    0.7132230120E-02    0.8611924172E+00
        26    0.2180000000E+00    0.1992001143E+00   -0.2026233553E+01    0.6329574020E-02    0.9986024050E+00
        27    0.7170000000E+00    0.6829543340E+00   -0.4000438201E+01    0.6242160122E-02    0.8714258650E+00
        28   -0.1400000000E-01   -0.1913799558E+00   -0.1619231844E+01    0.7487989265E-02    0.9986024050E+00
        29    0.3910000000E+00    0.5220018750E+00   -0.3337871674E+01    0.6566772917E-02    0.7008661131E+00
        30    0.2750000000E+00    0.2900715187E+00   -0.1926119210E+01    0.6381269505E-02    0.6609301221E+00
