     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4
         1    0.3320000000E+00    0.2865828118E+00   -0.3810561576E+01    0.7510069501E-02    0.7612778305E+00    0.8682169115E-04
         2   -0.7070000000E+00   -0.6076513062E+00   -0.1411357587E+01    0.8777381040E-02    0.9677779620E+00    0.5020842514E-04
         3    0.6010000000E+00    0.6159353696E+00   -0.2873825921E+01    0.5975099754E-02    0.5057389475E+00    0.8331505212E-06
         4    0.5850000000E+00    0.6671401148E+00   -0.3026012484E+01    0.5445874285E-02    0.9948377265E+00    0.1177117306E-05
         5    0.4410000000E+00    0.4790562291E+00   -0.2095340041E+01    0.5590366935E-02    0.8664293010E+00    0.5061910507E-06
         6    0.7700000000E+00    0.5186095782E+00   -0.2080030722E+01    0.6856923436E-02    0.4773276450E+00    0.4459865897E-02
         7    0.5240000000E+00    0.5119756206E+00   -0.3122898325E+01    0.6172937816E-02    0.8587212699E+00    0.1839282832E-04
         8    0.4910000000E+00    0.5360217610E+00   -0.3458436214E+01    0.6569335393E-02    0.5826900426E+00    0.1252332972E-04
         9    0.4420000000E+00    0.2866774935E+00   -0.3581269430E+01    0.7152627632E-02    0.9776907150E+00    0.7360187910E-04
        10   -0.2470000000E+00   -0.2016747652E+00   -0.1653301321E+01    0.7515943195E-02    0.9923920243E+00    0.1615781926E-04
        11    0.7740000000E+00    0.6768197609E+00   -0.3662156863E+01    0.6235732644E-02    0.5724047571E+00    0.2878450444E-04
        12   -0.4670000000E+00   -0.3066046675E+00   -0.2059651036E+01    0.8327143490E-02    0.8065395098E+00    0.5054545604E-04
        13    0.6460000000E+00    0.6108107110E+00   -0.3623747368E+01    0.6213881812E-02    0.8065395098E+00    0.8896565454E-05
        14   -0.3840000000E+00   -0.2774262534E+00   -0.1354115773E+01    0.9079287603E-02    0.1756943247E+00    0.3170558684E-02
        15    0.3510000000E+00    0.4525558390E+00   -0.3337871674E+01    0.6566772917E-02    0.8065395098E+00    0.1203826804E-04
        16    0.3540000000E+00    0.5121434917E+00   -0.3112592593E+01    0.6098989032E-02    0.9330710445E+00    0.2972186155E-04
        17    0.4600000000E+00    0.6220436963E+00   -0.2762627737E+01    0.6192241864E-02    0.3575199957E+00    0.7404137546E-03
        18    0.5800000000E-01   -0.3383327433E-01   -0.2133946078E+01    0.7283565218E-02    0.9677779620E+00    0.1648331594E-04
        19    0.1900000000E-01   -0.2450982628E+00   -0.1675680934E+01    0.7704160247E-02    0.9677779620E+00    0.2283666711E-04
        20   -0.1510000000E+00   -0.2781470849E+00   -0.1488526434E+01    0.9189791245E-02    0.1756943247E+00    0.3249356097E-02
        21    0.4340000000E+00    0.5204595509E+00   -0.2921311475E+01    0.5882029776E-02    0.9934298750E+00    0.8664913714E-05
        22    0.1444000000E+01    0.1412536859E+01   -0.3920940030E+01    0.4192101215E-02    0.2366378030E+00    0.1208265739E-05
        23    0.3240000000E+00    0.1749133051E+00   -0.2543544754E+01    0.7044821408E-02    0.7595881948E+00    0.6064705418E-04
        24    0.4010000000E+00    0.3454148471E+00   -0.3057641602E+01    0.6693411755E-02    0.8670398292E+00    0.2149785135E-04
        25    0.4230000000E+00    0.4784033311E+00   -0.3150629655E+01    0.7132230120E-02    0.8611924172E+00    0.3534239122E-02
        26    0.2180000000E+00    0.2144099199E+00   -0.2026233553E+01    0.6329574020E-02    0.9986024050E+00    0.5017474109E-05
        27    0.7170000000E+00    0.6577972132E+00   -0.4000438201E+01    0.6242160122E-02    0.8714258650E+00    0.4460000929E-05
        28   -0.1400000000E-01   -0.2020042895E+00   -0.1619231844E+01    0.7487989265E-02    0.9986024050E+00    0.1350226551E-04
        29    0.3910000000E+00    0.5333528006E+00   -0.3337871674E+01    0.6566772917E-02    0.7008661131E+00    0.7704491547E-03
        30    0.2750000000E+00    0.2712389198E+00   -0.1926119210E+01    0.6381269505E-02    0.6609301221E+00    0.4935080672E-06
        31    0.7260000000E+00    0.7099675043E+00   -0.4168421053E+01    0.6236560213E-02    0.8065395098E+00    0.8818781759E-05
        32    0.3000000000E+00    0.2206397807E+00   -0.1966355662E+01    0.6268380459E-02    0.9986024050E+00    0.5102841341E-05
        33    0.1339000000E+01    0.1255081770E+01   -0.4477804233E+01    0.5844723238E-02   -0.2815307196E+00    0.1105442364E-02
        34    0.6370000000E+00    0.5988186967E+00   -0.2791395374E+01    0.5978900708E-02    0.5057389475E+00    0.8423956730E-06
        35    0.4410000000E+00    0.3245801742E+00   -0.1901095571E+01    0.6683519830E-02    0.2305190056E+00    0.4304172234E-03
        36    0.7910000000E+00    0.6192467933E+00   -0.4161832960E+01    0.6592715735E-02    0.7612778305E+00    0.4049750710E-04
        37   -0.2080000000E+00   -0.1354927545E+00   -0.2112792434E+01    0.7653498567E-02    0.9349010057E+00    0.3755835291E-04
        38    0.1580000000E+00    0.3160749128E+00   -0.2001800615E+01    0.6017031810E-02    0.9435463986E+00    0.9145553150E-05
        39    0.1000000000E+00    0.1128512686E+00   -0.1754785714E+01    0.7857617457E-02    0.3575199957E+00    0.3249356097E-02
        40    0.1105000000E+01    0.8530343226E+00   -0.3853384374E+01    0.6343193292E-02   -0.6248552400E-01    0.8573656718E-06
        41    0.1890000000E+00    0.2303062928E+00   -0.2687111699E+01    0.6896561237E-02    0.8065395098E+00    0.1703794843E-04
        42    0.5090000000E+00    0.6600794519E+00   -0.4045555556E+01    0.6596793431E-02    0.7008661131E+00    0.7420563801E-03
        43   -0.6280000000E+00   -0.6063484707E+00   -0.1933473389E+01    0.9126502450E-02    0.9608003892E+00    0.4822531955E-04
        44    0.3560000000E+00    0.4158115942E+00   -0.2028215768E+01    0.5692146517E-02    0.9435463986E+00    0.6596630336E-05
        45    0.5960000000E+00    0.7295862706E+00   -0.3106561680E+01    0.5420159960E-02    0.8535126361E+00    0.1481779173E-04
        46    0.1760000000E+00    0.2557346307E+00   -0.1936540378E+01    0.6441352648E-02    0.6609301221E+00    0.5006891456E-06
        47    0.7370000000E+00    0.9820251515E+00   -0.4368020833E+01    0.5584157611E-02    0.8611924172E+00    0.8500090659E-03
        48    0.5630000000E+00    0.6634335114E+00   -0.3420000000E+01    0.5850293334E-02    0.8587212699E+00    0.1302457045E-04
