Predictions (y,pred,y-pred) by the model of dimension:     1
    0.3320000000E+00    0.4995136688E+00   -0.1675136688E+00
    0.9800000000E-01    0.7813061872E-01    0.1986938128E-01
   -0.8330000000E+00   -0.2092716185E+00   -0.6237283815E+00
    0.5920000000E+00    0.6413793622E+00   -0.4937936222E-01
    0.1710000000E+00    0.1888216074E+00   -0.1782160743E-01
    0.2740000000E+00    0.5900722991E+00   -0.3160722991E+00
   -0.2860000000E+00    0.7684105020E-01   -0.3628410502E+00
    0.6910000000E+00    0.7329348371E+00   -0.4193483714E-01
    0.3970000000E+00    0.5403124114E+00   -0.1433124114E+00
    0.8750000000E+00    0.9534663018E+00   -0.7846630185E-01
   -0.8000000000E-01    0.2774948006E+00   -0.3574948006E+00
    0.4440000000E+00    0.6135200199E+00   -0.1695200199E+00
   -0.3190000000E+00   -0.2055896959E+00   -0.1134103041E+00
    0.2090000000E+00    0.3197144971E+00   -0.1107144971E+00
   -0.5900000000E-01   -0.1997311818E-01   -0.3902688182E-01
    0.1870000000E+00   -0.7856258464E-02    0.1948562585E+00
    0.7230000000E+00    0.2292127887E+00    0.4937872113E+00
    0.4960000000E+00    0.5791583398E+00   -0.8315833978E-01
    0.6810000000E+00    0.5476788530E+00    0.1333211470E+00
   -0.4960000000E+00    0.5063208598E-02   -0.5010632086E+00
    0.1700000000E+00    0.1268258565E+00    0.4317414350E-01
    0.3050000000E+00    0.2098894264E+00    0.9511057363E-01
    0.2050000000E+00   -0.5522195370E-01    0.2602219537E+00
    0.6570000000E+00    0.4582052142E+00    0.1987947858E+00
    0.2330000000E+00    0.4606177843E+00   -0.2276177843E+00
   -0.2600000000E-01    0.3715362304E-01   -0.6315362304E-01
   -0.6460000000E+00   -0.1861122935E+00   -0.4598877065E+00
    0.6930000000E+00    0.3203337193E+00    0.3726662807E+00
   -0.4500000000E-01   -0.2671157323E-01   -0.1828842677E-01
   -0.6060000000E+00   -0.1815546956E+00   -0.4244453044E+00
    0.7240000000E+00    0.1085579792E+01   -0.3615797918E+00
   -0.2490000000E+00   -0.1091051866E+00   -0.1398948134E+00
    0.2490000000E+00    0.4692854678E+00   -0.2202854678E+00
    0.4780000000E+00    0.7827130926E+00   -0.3047130926E+00
    0.4470000000E+00    0.6035054433E-01    0.3866494557E+00
    0.7660000000E+00    0.5325862413E+00    0.2334137587E+00
   -0.1400000000E-01    0.3310044111E+00   -0.3450044111E+00
    0.2040000000E+00    0.1435960747E+00    0.6040392533E-01
    0.2640000000E+00    0.2261173896E+00    0.3788261040E-01
    0.1185000000E+01    0.9867146401E+00    0.1982853599E+00
    0.4650000000E+00    0.4881108769E+00   -0.2311087692E-01
    0.4660000000E+00    0.5103697582E+00   -0.4436975820E-01
   -0.1040000000E+00   -0.4054658305E-01   -0.6345341695E-01
    0.9240000000E+00    0.8463247694E+00    0.7767523055E-01
    0.5060000000E+00    0.9341149002E+00   -0.4281149002E+00
    0.3630000000E+00    0.3674487796E+00   -0.4448779577E-02
    0.3230000000E+00    0.4373948360E+00   -0.1143948360E+00
   -0.1180000000E+00    0.4156657226E-01   -0.1595665723E+00
    0.5260000000E+00    0.8835951716E-01    0.4376404828E+00
    0.5900000000E+00    0.5940586442E+00   -0.4058644229E-02
    0.3800000000E+00    0.5133381318E+00   -0.1333381318E+00
Prediction RMSE and MaxAE:         0.2516077470        0.6237283815
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.3320000000E+00    0.4315242939E+00   -0.9952429386E-01
    0.9800000000E-01   -0.6097675600E-01    0.1589767560E+00
   -0.8330000000E+00   -0.4716650118E+00   -0.3613349882E+00
    0.5920000000E+00    0.7355776030E+00   -0.1435776030E+00
    0.1710000000E+00    0.2261991729E+00   -0.5519917289E-01
    0.2740000000E+00    0.6310817875E+00   -0.3570817875E+00
   -0.2860000000E+00    0.1850379227E-01   -0.3045037923E+00
    0.6910000000E+00    0.7612394250E+00   -0.7023942498E-01
    0.3970000000E+00    0.4042017470E+00   -0.7201747010E-02
    0.8750000000E+00    0.9300176231E+00   -0.5501762311E-01
   -0.8000000000E-01    0.1330914260E+00   -0.2130914260E+00
    0.4440000000E+00    0.5858221974E+00   -0.1418221974E+00
   -0.3190000000E+00   -0.3521477895E+00    0.3314778949E-01
    0.2090000000E+00    0.3776031835E+00   -0.1686031835E+00
   -0.5900000000E-01   -0.5928274740E-01    0.2827473971E-03
    0.1870000000E+00   -0.5903512215E-01    0.2460351221E+00
    0.7230000000E+00    0.5794595004E+00    0.1435404996E+00
    0.4960000000E+00    0.5642434949E+00   -0.6824349493E-01
    0.6810000000E+00    0.6587190639E+00    0.2228093610E-01
   -0.4960000000E+00   -0.1591859866E+00   -0.3368140134E+00
    0.1700000000E+00    0.1789832762E+00   -0.8983276158E-02
    0.3050000000E+00    0.3813267536E+00   -0.7632675360E-01
    0.2050000000E+00   -0.1410371031E+00    0.3460371031E+00
    0.6570000000E+00    0.3270674229E+00    0.3299325771E+00
    0.2330000000E+00    0.4482273275E+00   -0.2152273275E+00
   -0.2600000000E-01   -0.1537154291E+00    0.1277154291E+00
   -0.6460000000E+00   -0.3385180269E+00   -0.3074819731E+00
    0.6930000000E+00    0.3781313548E+00    0.3148686452E+00
   -0.4500000000E-01   -0.2731229111E-01   -0.1768770889E-01
   -0.6060000000E+00   -0.3501858711E+00   -0.2558141289E+00
    0.7240000000E+00    0.8183248782E+00   -0.9432487823E-01
   -0.2490000000E+00   -0.1928723441E+00   -0.5612765593E-01
    0.2490000000E+00    0.4555313352E+00   -0.2065313352E+00
    0.4780000000E+00    0.5914637551E+00   -0.1134637551E+00
    0.4470000000E+00    0.9311932183E-01    0.3538806782E+00
    0.7660000000E+00    0.6125104071E+00    0.1534895929E+00
   -0.1400000000E-01    0.3601303266E+00   -0.3741303266E+00
    0.2040000000E+00    0.1364328240E+00    0.6756717601E-01
    0.2640000000E+00    0.2306187266E+00    0.3338127345E-01
    0.1185000000E+01    0.9633176557E+00    0.2216823443E+00
    0.4650000000E+00    0.5061002630E+00   -0.4110026302E-01
    0.4660000000E+00    0.3497005182E+00    0.1162994818E+00
   -0.1040000000E+00   -0.1977621313E+00    0.9376213129E-01
