     Index       y_measurement           y_fitting        descriptor_1
         1    0.7560000000E+00    0.7228704946E+00    0.1936305567E+01
         2    0.9740000000E+00    0.1070357962E+01    0.1992169083E+01
         3    0.4710000000E+00    0.6259563931E+00    0.1920725257E+01
         4    0.2400000000E+01    0.2160507075E+01    0.2167425943E+01
         5    0.2023000000E+01    0.1913588990E+01    0.2127730375E+01
         6    0.7390000000E+00    0.8762894378E+00    0.1960969828E+01
         7    0.7610000000E+00    0.6314470027E+00    0.1921607950E+01
         8    0.1500000000E+01    0.1618058838E+01    0.2080219731E+01
         9    0.2316000000E+01    0.2252228631E+01    0.2182171478E+01
        10    0.1438000000E+01    0.1509230442E+01    0.2062724030E+01
        11   -0.4100000000E-01    0.1143843999E+00    0.1838482837E+01
        12    0.1170000000E+01    0.5773249129E+00    0.1912907060E+01
        13   -0.2980000000E+00    0.6803036196E-01    0.1831030771E+01
        14    0.7720000000E+00    0.6479587221E+00    0.1924262442E+01
        15    0.1680000000E+00    0.2823533436E+00    0.1865486216E+01
        16    0.1009000000E+01    0.1010500712E+01    0.1982546185E+01
        17    0.2415000000E+01    0.2388751098E+01    0.2204119392E+01
        18    0.6020000000E+00    0.2836127727E+00    0.1865688687E+01
        19    0.1801000000E+01    0.1955324541E+01    0.2134439954E+01
        20    0.2664000000E+01    0.2363775680E+01    0.2200104241E+01
        21   -0.1470000000E+00    0.2229983075E+00    0.1855944056E+01
        22    0.1940000000E+01    0.2255279859E+01    0.2182662006E+01
        23    0.1559000000E+01    0.1516987540E+01    0.2063971093E+01
        24   -0.1760000000E+00    0.2229983075E+00    0.1855944056E+01
        25    0.2374000000E+01    0.2320427711E+01    0.2193135443E+01
        26   -0.1700000000E+00    0.2738769186E+00    0.1864123511E+01
        27    0.5820000000E+00    0.5735332459E+00    0.1912297496E+01
        28    0.1121000000E+01    0.1013568560E+01    0.1983039385E+01
        29    0.1130000000E+01    0.1214009421E+01    0.2015263083E+01
        30    0.1090000000E+00    0.3085283886E+00    0.1869694224E+01
        31    0.2441000000E+01    0.2295730565E+01    0.2189165028E+01
        32    0.1110000000E+01    0.9658180045E+00    0.1975362809E+01
        33    0.1420000000E+01    0.1319152958E+01    0.2032166391E+01
        34    0.1520000000E+00    0.2345460274E+00    0.1857800515E+01
        35    0.1344000000E+01    0.1621245327E+01    0.2080732004E+01
        36    0.4870000000E+00    0.3048804290E+00    0.1869107763E+01
        37    0.1009000000E+01    0.1005739363E+01    0.1981780731E+01
        38    0.1794000000E+01    0.1883660663E+01    0.2122918974E+01
        39    0.2760000000E+00    0.1549283291E+00    0.1845000846E+01
        40   -0.3120000000E+00    0.1389334539E+00    0.1842429444E+01
        41    0.2281000000E+01    0.1961065218E+01    0.2135362849E+01
        42    0.6730000000E+00    0.9167820061E+00    0.1967479580E+01
        43    0.1495000000E+01    0.1595187491E+01    0.2076542839E+01
        44    0.1596000000E+01    0.2381879216E+01    0.2203014640E+01
        45    0.5360000000E+00    0.9365759567E+00    0.1970661737E+01
        46    0.7360000000E+00    0.3335527477E+00    0.1873717243E+01
        47    0.7490000000E+00    0.6046163139E+00    0.1917294538E+01
        48    0.2492000000E+01    0.2127712605E+01    0.2162153769E+01
        49    0.3740000000E+00    0.5128693791E+00    0.1902544923E+01
        50    0.9030000000E+00    0.5030677640E+00    0.1900969175E+01
        51    0.4680000000E+00    0.7179877882E+00    0.1935520603E+01
        52    0.6690000000E+00    0.7801755895E+00    0.1945518170E+01
        53    0.3390000000E+00    0.9688643621E+00    0.1975852554E+01
        54    0.2338000000E+01    0.2215177421E+01    0.2176214973E+01
        55    0.7600000000E-01    0.2107789141E+00    0.1853979616E+01
        56    0.1969000000E+01    0.2290779932E+01    0.2188369144E+01
        57    0.1195000000E+01    0.8484797184E+00    0.1956499023E+01
        58    0.1712000000E+01    0.1886969262E+01    0.2123450878E+01
        59   -0.2080000000E+00    0.6877582059E-01    0.1831150614E+01
        60    0.1060000000E+00    0.4426961640E+00    0.1891263588E+01
        61    0.7650000000E+00    0.8971624290E+00    0.1964325456E+01
        62    0.2223000000E+01    0.2185774473E+01    0.2171488034E+01
        63    0.1937000000E+01    0.1479588840E+01    0.2057958724E+01
        64    0.2023000000E+01    0.2344327286E+01    0.2196977637E+01
        65    0.2779000000E+01    0.2344805894E+01    0.2197054580E+01
        66    0.2145000000E+01    0.1884769375E+01    0.2123097215E+01
        67    0.4390000000E+00    0.3227817931E+00    0.1871985660E+01
        68    0.4580000000E+00    0.2452838962E+00    0.1859526779E+01
        69    0.2500000000E+00    0.7196543783E-01    0.1831663390E+01
        70    0.1890000000E+01    0.2365507597E+01    0.2200382671E+01
        71    0.1056000000E+01    0.1063893796E+01    0.1991129877E+01
        72    0.7550000000E+00    0.8844199773E+00    0.1962276927E+01
        73    0.8170000000E+00    0.8772213187E+00    0.1961119641E+01
        74    0.2464000000E+01    0.2179841912E+01    0.2170534291E+01
        75    0.8670000000E+00    0.6519659285E+00    0.1924906657E+01
        76    0.1179000000E+01    0.6025748944E+00    0.1916966351E+01
        77    0.3370000000E+00    0.5704732533E+00    0.1911805559E+01
        78    0.4110000000E+00    0.1838122808E+00    0.1849644349E+01
        79    0.1160000000E+01    0.6009129253E+00    0.1916699166E+01
        80    0.1632000000E+01    0.1057359421E+01    0.1990079384E+01
        81    0.3950000000E+00    0.5622017309E+00    0.1910475795E+01
        82    0.5710000000E+00    0.5764308079E+00    0.1912763320E+01
        83    0.1231000000E+01    0.1556048925E+01    0.2070250762E+01
        84    0.1139000000E+01    0.5387664951E+00    0.1906708250E+01
        85    0.2058000000E+01    0.2346714498E+01    0.2197361415E+01
        86    0.8870000000E+00    0.3915215230E+00    0.1883036542E+01
        87    0.2479000000E+01    0.2253044814E+01    0.2182302691E+01
        88    0.2347000000E+01    0.2204855634E+01    0.2174555600E+01
        89    0.1319000000E+01    0.1530574192E+01    0.2066155339E+01
        90    0.8600000000E+00    0.9495549102E+00    0.1972748287E+01
        91   -0.7100000000E-01    0.1337930717E+00    0.1841603055E+01
        92    0.4530000000E+00    0.3560582051E+00    0.1877335313E+01
        93   -0.6800000000E-01    0.2560282030E+00    0.1861254078E+01
        94    0.6930000000E+00    0.6121213095E+00    0.1918501072E+01
        95    0.7990000000E+00    0.4753796638E+00    0.1896517922E+01
        96    0.1131000000E+01    0.1641313312E+01    0.2083958216E+01
        97    0.3180000000E+00    0.1928756590E+00    0.1851101415E+01
