     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.7560000000E+00    0.5510541783E+00    0.1697087403E+01    0.1131523552E+03
         2    0.9740000000E+00    0.9958027774E+00   -0.7811803083E+00    0.1364556973E+03
         3    0.4710000000E+00    0.4063552814E+00   -0.1208198179E+01    0.9663900048E+02
         4    0.2400000000E+01    0.2254480155E+01    0.1090693831E+01    0.2237885806E+03
         5    0.2023000000E+01    0.1959453558E+01    0.2549221239E+00    0.2023628821E+03
         6    0.7390000000E+00    0.8355938699E+00    0.1909584365E+00    0.1282523747E+03
         7    0.7610000000E+00    0.8053165041E+00   -0.1373143386E+02    0.9275692775E+02
         8    0.1500000000E+01    0.1596003945E+01   -0.2692539279E+01    0.1713529499E+03
         9    0.2316000000E+01    0.2101453631E+01    0.5172741757E+00    0.2123386502E+03
        10    0.1438000000E+01    0.1535870982E+01    0.1451363454E+01    0.1773677860E+03
        11   -0.4100000000E-01    0.2817573803E+00   -0.9951887317E+01    0.6739880269E+02
        12    0.1170000000E+01    0.1123557558E+01   -0.2025590768E+02    0.9799848781E+02
        13   -0.2980000000E+00   -0.1083197837E+00    0.1496092697E+01    0.6927799017E+02
        14    0.7720000000E+00    0.8042833217E+00   -0.1374170686E+02    0.9266421719E+02
        15    0.1680000000E+00    0.1226240237E+00    0.2342364628E+01    0.8651193172E+02
        16    0.1009000000E+01    0.8827042338E+00   -0.1389648052E+01    0.1275489229E+03
        17    0.2415000000E+01    0.2599589504E+01   -0.2172700407E+01    0.2386457352E+03
        18    0.6020000000E+00    0.5568857740E+00   -0.1436440245E+02    0.7488553955E+02
        19    0.1801000000E+01    0.1884422055E+01   -0.2309813269E+01    0.1912535563E+03
        20    0.2664000000E+01    0.2582650087E+01   -0.2990350223E+01    0.2355634191E+03
        21   -0.1470000000E+00   -0.1531840558E+00    0.8181781771E+01    0.8241418228E+02
        22    0.1940000000E+01    0.2037132998E+01    0.1836721741E+00    0.2073031898E+03
        23    0.1559000000E+01    0.1653137295E+01    0.1483092556E+01    0.1851609531E+03
        24   -0.1760000000E+00   -0.1531840558E+00    0.8181781771E+01    0.8241418228E+02
        25    0.2374000000E+01    0.2210222246E+01   -0.1928141525E+01    0.2136115867E+03
        26   -0.1700000000E+00    0.1841357237E+00   -0.7691438047E+00    0.8307219114E+02
        27    0.5820000000E+00    0.5238478840E+00   -0.5412685431E+01    0.9425297506E+02
        28    0.1121000000E+01    0.9149773051E+00   -0.1282493106E+01    0.1299305400E+03
        29    0.1130000000E+01    0.1166265521E+01    0.5097880237E+01    0.1618205939E+03
        30    0.1090000000E+00    0.2628412344E+00   -0.3452381788E+01    0.8179449987E+02
        31    0.2441000000E+01    0.2385221388E+01   -0.2304626565E+01    0.2242215823E+03
        32    0.1110000000E+01    0.1028500547E+01   -0.1161709401E+02    0.1125317255E+03
        33    0.1420000000E+01    0.1456370582E+01   -0.3703883589E+01    0.1597305410E+03
        34    0.1520000000E+00    0.1445964826E+00    0.3355928882E+01    0.9039690251E+02
        35    0.1344000000E+01    0.1576702621E+01   -0.3256014470E+00    0.1757786378E+03
        36    0.4870000000E+00    0.4038358229E+00   -0.6430131264E+01    0.8390708054E+02
        37    0.1009000000E+01    0.9237029364E+00   -0.1385952182E+01    0.1302557727E+03
        38    0.1794000000E+01    0.1872693761E+01   -0.9088811372E+00    0.1938529860E+03
        39    0.2760000000E+00    0.2841488902E+00   -0.9961213622E+01    0.6753373518E+02
        40   -0.3120000000E+00   -0.6399248863E-02   -0.1218969571E+01    0.6945140182E+02
        41    0.2281000000E+01    0.1988467472E+01   -0.1790478366E+01    0.1993500913E+03
        42    0.6730000000E+00    0.6273098650E+00    0.5799045108E+01    0.1280414304E+03
        43    0.1495000000E+01    0.1608856698E+01   -0.2651294946E+01    0.1722979876E+03
        44    0.1596000000E+01    0.2145973462E+01   -0.1247480915E+00    0.2137233468E+03
        45    0.5360000000E+00    0.7641968739E+00   -0.1508011425E+00    0.1227316175E+03
        46    0.7360000000E+00    0.7435583737E+00   -0.1557791853E+02    0.8424947548E+02
        47    0.7490000000E+00    0.9401684097E+00   -0.1503680852E+02    0.9848970728E+02
        48    0.2492000000E+01    0.2418486906E+01    0.1694840873E+01    0.2360350174E+03
        49    0.3740000000E+00    0.9115121499E-01    0.7471673283E+01    0.9678406776E+02
        50    0.9030000000E+00    0.4831931087E+00   -0.2273438028E+01    0.9913197549E+02
        51    0.4680000000E+00    0.6752001843E+00   -0.7543417061E+01    0.9908542843E+02
        52    0.6690000000E+00    0.5818525336E+00    0.5676534165E+01    0.1247552585E+03
        53    0.3390000000E+00    0.6963137473E+00    0.6149592900E+01    0.1334258547E+03
        54    0.2338000000E+01    0.2026115815E+01    0.6142648588E+00    0.2076143779E+03
        55    0.7600000000E-01    0.1562529755E+00    0.9558455564E+00    0.8538837800E+02
        56    0.1969000000E+01    0.2059145194E+01   -0.5473969346E+00    0.2069924681E+03
        57    0.1195000000E+01    0.9045351406E+00    0.7030702689E+00    0.1340214685E+03
        58    0.1712000000E+01    0.1839101792E+01    0.3325993618E+00    0.1946299508E+03
        59   -0.2080000000E+00   -0.2392143148E+00    0.5496022085E+01    0.7028983920E+02
        60    0.1060000000E+00    0.8110222523E-01    0.1079098501E+02    0.1041104181E+03
        61    0.7650000000E+00    0.8095035163E+00   -0.4683708279E+01    0.1148050172E+03
        62    0.2223000000E+01    0.2343707879E+01    0.3334219485E+00    0.2278379817E+03
