     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.7560000000E+00    0.5748247550E+00    0.1537987699E+04    0.1697087403E+01   -0.6753316419E+00
         2    0.9740000000E+00    0.9413337770E+00    0.1657580315E+04   -0.7811803083E+00   -0.3440281975E+00
         3    0.4710000000E+00    0.4491045264E+00    0.1355886551E+04   -0.1208198179E+01   -0.5978869673E+00
         4    0.2400000000E+01    0.2373118763E+01    0.2663497380E+04    0.1090693831E+01   -0.1789095555E+00
         5    0.2023000000E+01    0.1901389058E+01    0.2447930460E+04    0.2549221239E+00   -0.8636207373E+00
         6    0.7390000000E+00    0.8122651659E+00    0.1595652341E+04    0.1909584365E+00   -0.3440281975E+00
         7    0.7610000000E+00    0.8187300746E+00    0.1314320685E+04   -0.1373143386E+02   -0.8620420544E+00
         8    0.1500000000E+01    0.1294022206E+01    0.2107459321E+04   -0.2692539279E+01   -0.1688137400E+01
         9    0.2316000000E+01    0.2278330131E+01    0.2578526052E+04    0.5172741757E+00   -0.1592645718E+00
        10    0.1438000000E+01    0.1518179890E+01    0.2154896020E+04    0.1451363454E+01   -0.5414593791E+00
        11   -0.4100000000E-01    0.2024363021E+00    0.1012883780E+04   -0.9951887317E+01   -0.9559891572E+00
        12    0.1170000000E+01    0.1189742548E+01    0.1345254919E+04   -0.2025590768E+02   -0.6362927771E+00
        13   -0.2980000000E+00   -0.2238569846E+00    0.1036713675E+04    0.1496092697E+01   -0.9559891572E+00
        14    0.7720000000E+00    0.8176870770E+00    0.1313317642E+04   -0.1374170686E+02   -0.8620420544E+00
        15    0.1680000000E+00    0.8362595125E-01    0.1225730239E+04    0.2342364628E+01   -0.7172258302E+00
        16    0.1009000000E+01    0.8680330486E+00    0.1590234450E+04   -0.1389648052E+01   -0.3440281975E+00
        17    0.2415000000E+01    0.2619421260E+01    0.2791278640E+04   -0.2172700407E+01   -0.4303941094E+00
        18    0.6020000000E+00    0.5408988908E+00    0.1097268191E+04   -0.1436440245E+02   -0.8197395640E+00
        19    0.1801000000E+01    0.1723157334E+01    0.2309734944E+04   -0.2309813269E+01   -0.1151281421E+01
        20    0.2664000000E+01    0.2619969295E+01    0.2768987383E+04   -0.2990350223E+01   -0.4303941094E+00
        21   -0.1470000000E+00   -0.1265066747E+00    0.1182819284E+04    0.8181781771E+01   -0.4065220978E+00
        22    0.1940000000E+01    0.2090399978E+01    0.2541205523E+04    0.1836721741E+00   -0.6831640083E+00
        23    0.1559000000E+01    0.1604197917E+01    0.2215009728E+04    0.1483092556E+01   -0.5414593791E+00
