     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4
         1    0.7560000000E+00    0.6069172598E+00    0.3215830367E+01    0.6396900963E-01    0.1697087403E+01    0.2463079130E+00
         2    0.9740000000E+00    0.9682114156E+00    0.3446795688E+01    0.7843020868E-01   -0.7811803083E+00    0.2385357829E+00
         3    0.4710000000E+00    0.2248599348E+00    0.3117710685E+01    0.7293062304E-01   -0.1208198179E+01   -0.1067370325E+01
         4    0.2400000000E+01    0.2470443842E+01    0.3941986912E+01    0.6300783577E-01    0.1090693831E+01    0.2808069309E+01
         5    0.2023000000E+01    0.1954601166E+01    0.3844224007E+01    0.7131034154E-01    0.2549221239E+00    0.3950938792E+00
         6    0.7390000000E+00    0.9021424572E+00    0.3409510083E+01    0.7658066402E-01    0.1909584365E+00    0.4422298536E+00
         7    0.7610000000E+00    0.7735441394E+00    0.3100242937E+01    0.6478889200E-01   -0.1373143386E+02    0.3018322977E+00
         8    0.1500000000E+01    0.1379786123E+01    0.3555862865E+01    0.7068230550E-01   -0.2692539279E+01    0.1345651056E+00
         9    0.2316000000E+01    0.2312149481E+01    0.3976863249E+01    0.8323706426E-01    0.5172741757E+00    0.3616514459E+01
        10    0.1438000000E+01    0.1274855217E+01    0.3576362840E+01    0.7722806966E-01    0.1451363454E+01    0.9993545232E+00
        11   -0.4100000000E-01    0.2422883062E+00    0.2947521052E+01    0.6899105876E-01   -0.9951887317E+01    0.9401265417E-01
        12    0.1170000000E+01    0.1216307493E+01    0.3083805609E+01    0.4498004441E-01   -0.2025590768E+02    0.1252828929E+00
        13   -0.2980000000E+00   -0.2559001027E+00    0.2956891699E+01    0.8163841666E-01    0.1496092697E+01    0.1063956534E+00
        14    0.7720000000E+00    0.8082672442E+00    0.3099821265E+01    0.6253502279E-01   -0.1374170686E+02    0.3034441449E+00
        15    0.1680000000E+00    0.1121338601E+00    0.3035610779E+01    0.6801342093E-01    0.2342364628E+01    0.1330621063E+00
        16    0.1009000000E+01    0.9848502254E+00    0.3406245314E+01    0.7378775550E-01   -0.1389648052E+01    0.4655853794E+00
        17    0.2415000000E+01    0.2460374243E+01    0.3927716005E+01    0.5446712419E-01   -0.2172700407E+01    0.2250335028E+00
        18    0.6020000000E+00    0.6216959604E+00    0.2983214330E+01    0.5793262759E-01   -0.1436440245E+02    0.1204885901E+00
        19    0.1801000000E+01    0.1730080257E+01    0.3713111574E+01    0.7101363184E-01   -0.2309813269E+01    0.3042819976E+00
        20    0.2664000000E+01    0.2542886836E+01    0.3918808265E+01    0.4950542566E-01   -0.2990350223E+01    0.2487774688E+00
        21   -0.1470000000E+00   -0.1604200310E+00    0.3018287926E+01    0.7610885807E-01    0.8181781771E+01    0.8612828778E+00
        22    0.1940000000E+01    0.2112046820E+01    0.3959968530E+01    0.7969446065E-01    0.1836721741E+00    0.7356601640E+00
        23    0.1559000000E+01    0.1470679280E+01    0.3602307339E+01    0.6813294606E-01    0.1483092556E+01    0.9516029980E+00
