Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2077000000E+01    0.1946792934E+01    0.1302070657E+00
    0.1970000000E+01    0.1424417545E+01    0.5455824546E+00
    0.7290000000E+00    0.6052551971E+00    0.1237448029E+00
    0.5310000000E+00    0.3897078106E+00    0.1412921894E+00
    0.2553000000E+01    0.2332877213E+01    0.2201227875E+00
    0.1142000000E+01    0.9991164834E+00    0.1428835166E+00
    0.1157000000E+01    0.5410559268E+00    0.6159440732E+00
    0.1614000000E+01    0.1107508773E+01    0.5064912267E+00
    0.6680000000E+00    0.4393426245E+00    0.2286573755E+00
   -0.2300000000E-01    0.1809899379E+00   -0.2039899379E+00
    0.2492000000E+01    0.2110366262E+01    0.3816337380E+00
    0.6550000000E+00    0.4677553515E+00    0.1872446485E+00
    0.1255000000E+01    0.1010618731E+01    0.2443812685E+00
    0.1550000000E+00    0.2763362027E+00   -0.1213362027E+00
    0.1154000000E+01    0.9054243333E+00    0.2485756667E+00
    0.3110000000E+00    0.5698956969E+00   -0.2588956969E+00
    0.6480000000E+00    0.8270940721E+00   -0.1790940721E+00
   -0.2480000000E+00   -0.4671288388E-02   -0.2433287116E+00
    0.6100000000E+00    0.3764910348E+00    0.2335089652E+00
    0.1019000000E+01    0.1056075177E+01   -0.3707517668E-01
    0.1112000000E+01    0.8429267261E+00    0.2690732739E+00
    0.7350000000E+00    0.9167820050E+00   -0.1817820050E+00
    0.9840000000E+00    0.5623182292E+00    0.4216817708E+00
    0.2890000000E+00    0.2050314456E+00    0.8396855443E-01
    0.2105000000E+01    0.1884769373E+01    0.2202306270E+00
    0.9350000000E+00    0.7355428780E+00    0.1994571220E+00
    0.2650000000E+00    0.5692785343E+00   -0.3042785343E+00
    0.2263000000E+01    0.2270220282E+01   -0.7220282311E-02
    0.2567000000E+01    0.2312973840E+01    0.2540261604E+00
Prediction RMSE and MaxAE:         0.2763986672        0.6159440732
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.2077000000E+01    0.1964417778E+01    0.1125822219E+00
    0.1970000000E+01    0.1634772678E+01    0.3352273217E+00
    0.7290000000E+00    0.8022065180E+00   -0.7320651797E-01
    0.5310000000E+00    0.3764529099E+00    0.1545470901E+00
    0.2553000000E+01    0.2470350219E+01    0.8264978114E-01
    0.1142000000E+01    0.1015589999E+01    0.1264100009E+00
    0.1157000000E+01    0.1106902863E+01    0.5009713675E-01
    0.1614000000E+01    0.1284625625E+01    0.3293743747E+00
    0.6680000000E+00    0.3262477161E+00    0.3417522839E+00
   -0.2300000000E-01   -0.2323704322E-01    0.2370432216E-03
    0.2492000000E+01    0.2440013782E+01    0.5198621812E-01
    0.6550000000E+00    0.7114111734E+00   -0.5641117345E-01
    0.1255000000E+01    0.1093902198E+01    0.1610978015E+00
    0.1550000000E+00    0.3318966505E+00   -0.1768966505E+00
    0.1154000000E+01    0.9389275834E+00    0.2150724166E+00
    0.3110000000E+00    0.1120275810E+00    0.1989724190E+00
    0.6480000000E+00    0.6584253716E+00   -0.1042537163E-01
   -0.2480000000E+00   -0.2628627989E+00    0.1486279891E-01
    0.6100000000E+00    0.3859290688E+00    0.2240709312E+00
    0.1019000000E+01    0.9142145160E+00    0.1047854840E+00
    0.1112000000E+01    0.8322552958E+00    0.2797447042E+00
    0.7350000000E+00    0.6273098643E+00    0.1076901357E+00
    0.9840000000E+00    0.1073925245E+01   -0.8992524463E-01
    0.2890000000E+00    0.7623257510E-01    0.2127674249E+00
    0.2105000000E+01    0.1893772445E+01    0.2112275554E+00
    0.9350000000E+00    0.7616730889E+00    0.1733269111E+00
    0.2650000000E+00    0.1271817174E+00    0.1378182826E+00
    0.2263000000E+01    0.2203310092E+01    0.5968990764E-01
    0.2567000000E+01    0.2216653339E+01    0.3503466607E+00
Prediction RMSE and MaxAE:         0.1836940257        0.3503466607
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.2077000000E+01    0.1918668370E+01    0.1583316297E+00
    0.1970000000E+01    0.1721806230E+01    0.2481937700E+00
    0.7290000000E+00    0.8156792345E+00   -0.8667923449E-01
    0.5310000000E+00    0.4070012263E+00    0.1239987737E+00
    0.2553000000E+01    0.2547264148E+01    0.5735851561E-02
    0.1142000000E+01    0.1089289926E+01    0.5271007404E-01
    0.1157000000E+01    0.1170655628E+01   -0.1365562759E-01
    0.1614000000E+01    0.1387574906E+01    0.2264250940E+00
    0.6680000000E+00    0.3071755360E+00    0.3608244640E+00
   -0.2300000000E-01   -0.9644991368E-01    0.7344991368E-01
    0.2492000000E+01    0.2518506997E+01   -0.2650699738E-01
    0.6550000000E+00    0.7336901082E+00   -0.7869010823E-01
    0.1255000000E+01    0.1167064815E+01    0.8793518461E-01
    0.1550000000E+00    0.3415209971E+00   -0.1865209971E+00
    0.1154000000E+01    0.1030586177E+01    0.1234138232E+00
    0.3110000000E+00    0.1945035462E+00    0.1164964538E+00
    0.6480000000E+00    0.6124466990E+00    0.3555330102E-01
   -0.2480000000E+00   -0.2614781550E+00    0.1347815500E-01
    0.6100000000E+00    0.4172137882E+00    0.1927862118E+00
    0.1019000000E+01    0.8897810741E+00    0.1292189259E+00
    0.1112000000E+01    0.9521831149E+00    0.1598168851E+00
    0.7350000000E+00    0.7419640731E+00   -0.6964073089E-02
    0.9840000000E+00    0.1133929452E+01   -0.1499294517E+00
    0.2890000000E+00    0.2323829378E+00    0.5661706220E-01
    0.2105000000E+01    0.1968721763E+01    0.1362782365E+00
    0.9350000000E+00    0.8102278296E+00    0.1247721704E+00
    0.2650000000E+00    0.2100868253E+00    0.5491317466E-01
    0.2263000000E+01    0.2249539118E+01    0.1346088194E-01
    0.2567000000E+01    0.2275780694E+01    0.2912193061E+00
Prediction RMSE and MaxAE:         0.1445996029        0.3608244640
Predictions (y,pred,y-pred) by the model of dimension:     4
    0.2077000000E+01    0.1989315524E+01    0.8768447601E-01
    0.1970000000E+01    0.1736534205E+01    0.2334657946E+00
    0.7290000000E+00    0.7772381541E+00   -0.4823815413E-01
    0.5310000000E+00    0.3842494922E+00    0.1467505078E+00
    0.2553000000E+01    0.2330762669E+01    0.2222373315E+00
    0.1142000000E+01    0.1129959406E+01    0.1204059407E-01
    0.1157000000E+01    0.1188328219E+01   -0.3132821864E-01
    0.1614000000E+01    0.1449883297E+01    0.1641167028E+00
    0.6680000000E+00    0.4121733342E+00    0.2558266658E+00
   -0.2300000000E-01   -0.8974286089E-01    0.6674286089E-01
    0.2492000000E+01    0.2494925630E+01   -0.2925630372E-02
    0.6550000000E+00    0.7716950438E+00   -0.1166950438E+00
