Predictions (y,pred,y-pred) by the model of dimension:     1
    0.7400000000E+03    0.7362621196E+03    0.3737880430E+01
    0.6380000000E+03    0.5391098026E+03    0.9889019741E+02
    0.6000000000E+03    0.5666919394E+03    0.3330806061E+02
    0.5240000000E+03    0.4729126743E+03    0.5108732574E+02
    0.5240000000E+03    0.4599610622E+03    0.6403893780E+02
    0.4920000000E+03    0.6091444456E+03   -0.1171444456E+03
    0.5160000000E+03    0.4719532956E+03    0.4404670441E+02
    0.3820000000E+03    0.4362164401E+03   -0.5421644008E+02
    0.5900000000E+03    0.5052917044E+03    0.8470829558E+02
    0.5240000000E+03    0.4700345382E+03    0.5396546175E+02
    0.6980000000E+03    0.8270433264E+03   -0.1290433264E+03
    0.9570000000E+03    0.9046330764E+03    0.5236692359E+02
    0.4490000000E+03    0.5117675105E+03   -0.6276751045E+02
    0.5350000000E+03    0.4534852562E+03    0.8151474384E+02
    0.5880000000E+03    0.5040924811E+03    0.8390751892E+02
    0.4110000000E+03    0.4664368682E+03   -0.5543686823E+02
    0.5500000000E+03    0.5249589672E+03    0.2504103281E+02
    0.4380000000E+03    0.4614001302E+03   -0.2340013020E+02
    0.3950000000E+03    0.5042124034E+03   -0.1092124034E+03
    0.4510000000E+03    0.5467848320E+03   -0.9578483196E+02
    0.5040000000E+03    0.4350172167E+03    0.6898278326E+02
    0.4770000000E+03    0.4448508481E+03    0.3214915188E+02
    0.5220000000E+03    0.4916205584E+03    0.3037944165E+02
    0.5500000000E+03    0.4585219942E+03    0.9147800581E+02
    0.5620000000E+03    0.5237597438E+03    0.3824025615E+02
    0.5630000000E+03    0.4988158984E+03    0.6418410161E+02
    0.3250000000E+03    0.4151101093E+03   -0.9011010931E+02
    0.6150000000E+03    0.5666919394E+03    0.4830806061E+02
    0.4190000000E+03    0.4706341499E+03   -0.5163414992E+02
    0.4910000000E+03    0.4244640514E+03    0.6653594865E+02
    0.5000000000E+03    0.6091444456E+03   -0.1091444456E+03
    0.4110000000E+03    0.4614001302E+03   -0.5040013020E+02
    0.5260000000E+03    0.5160847145E+03    0.9915285525E+01
    0.3850000000E+03    0.4622395865E+03   -0.7723958654E+02
    0.3850000000E+03    0.4099534489E+03   -0.2495344895E+02
    0.1086000000E+04    0.1089313471E+04   -0.3313470660E+01
    0.4900000000E+03    0.4614001302E+03    0.2859986980E+02
    0.5700000000E+03    0.5084096851E+03    0.6159031490E+02
    0.1002000000E+04    0.8676969976E+03    0.1343030024E+03
    0.5500000000E+03    0.4729126743E+03    0.7708732574E+02
    0.2450000000E+03    0.2397836571E+03    0.5216342900E+01
    0.4960000000E+03    0.4455703821E+03    0.5042961788E+02
    0.3620000000E+03    0.4099534489E+03   -0.4795344895E+02
